arquivo,variavel,ausentes_amostra,percentual_amostra
microdados2025_arq1.txt,NU_ANO,0,0.0
microdados2025_arq1.txt,CO_CURSO,0,0.0
microdados2025_arq1.txt,CO_IES,0,0.0
microdados2025_arq1.txt,CO_CATEGAD,0,0.0
microdados2025_arq1.txt,CO_ORGACAD,0,0.0
microdados2025_arq1.txt,CO_GRUPO,0,0.0
microdados2025_arq1.txt,CO_MODALIDADE,0,0.0
microdados2025_arq1.txt,CO_MUNIC_CURSO,0,0.0
microdados2025_arq1.txt,CO_UF_CURSO,0,0.0
microdados2025_arq1.txt,CO_REGIAO_CURSO,0,0.0
microdados2025_arq2.txt,NU_ANO,0,0.0
microdados2025_arq2.txt,CO_CURSO,0,0.0
microdados2025_arq2.txt,ANO_FIM_EM,0,0.0
microdados2025_arq2.txt,ANO_IN_GRAD,0,0.0
microdados2025_arq2.txt,CO_TURNO_GRADUACAO,0,0.0
microdados2025_arq3.txt,NU_ANO,0,0.0
microdados2025_arq3.txt,CO_CURSO,0,0.0
microdados2025_arq3.txt,CO_CADERNO,0,0.0
microdados2025_arq3.txt,IN_REAPLICACAO,0,0.0
microdados2025_arq3.txt,DS_VT_GAB_OBJ,0,0.0
microdados2025_arq3.txt,DS_VT_ESC_OBJ,0,0.0
microdados2025_arq3.txt,DS_VT_ACE_OBJ,0,0.0
microdados2025_arq3.txt,TP_PRES,0,0.0
microdados2025_arq3.txt,TP_SIT_DISC,0,0.0
microdados2025_arq3.txt,PROFICIENCIA,0,0.0
microdados2025_arq3.txt,NT_OBJ,0,0.0
microdados2025_arq3.txt,NT_DIS,0,0.0
microdados2025_arq3.txt,NT_GER,0,0.0
microdados2025_arq3.txt,QT_ACERTOS,0,0.0
microdados2025_arq3.txt,CO_RS_I1,0,0.0
microdados2025_arq3.txt,CO_RS_I2,0,0.0
microdados2025_arq3.txt,CO_RS_I3,0,0.0
microdados2025_arq3.txt,CO_RS_I4,0,0.0
microdados2025_arq3.txt,CO_RS_I5,0,0.0
microdados2025_arq3.txt,CO_RS_I6,0,0.0
microdados2025_arq3.txt,CO_RS_I7,0,0.0
microdados2025_arq3.txt,CO_RS_I8,0,0.0
microdados2025_arq3.txt,CO_RS_I9,0,0.0
microdados2025_arq4.txt,NU_ANO,0,0.0
microdados2025_arq4.txt,CO_CURSO,0,0.0
microdados2025_arq4.txt,QE_I20,0,0.0
microdados2025_arq4.txt,QE_I21,0,0.0
microdados2025_arq4.txt,QE_I22,0,0.0
microdados2025_arq4.txt,QE_I23,0,0.0
microdados2025_arq4.txt,QE_I24,0,0.0
microdados2025_arq4.txt,QE_I25,0,0.0
microdados2025_arq4.txt,QE_I26,0,0.0
microdados2025_arq4.txt,QE_I27,0,0.0
microdados2025_arq4.txt,QE_I28,0,0.0
microdados2025_arq4.txt,QE_I29,0,0.0
microdados2025_arq4.txt,QE_I30,0,0.0
microdados2025_arq4.txt,QE_I31,0,0.0
microdados2025_arq4.txt,QE_I32,0,0.0
microdados2025_arq4.txt,QE_I33,0,0.0
microdados2025_arq4.txt,QE_I34,0,0.0
microdados2025_arq4.txt,QE_I35,0,0.0
microdados2025_arq4.txt,QE_I36,0,0.0
microdados2025_arq4.txt,QE_I37,0,0.0
microdados2025_arq4.txt,QE_I38,0,0.0
microdados2025_arq4.txt,QE_I39,0,0.0
microdados2025_arq4.txt,QE_I40,0,0.0
microdados2025_arq4.txt,QE_I41,0,0.0
microdados2025_arq4.txt,QE_I42,0,0.0
microdados2025_arq4.txt,QE_I43,0,0.0
microdados2025_arq4.txt,QE_I44,0,0.0
microdados2025_arq4.txt,QE_I45,0,0.0
microdados2025_arq4.txt,QE_I46,0,0.0
microdados2025_arq4.txt,QE_I47,0,0.0
microdados2025_arq4.txt,QE_I48,0,0.0
microdados2025_arq4.txt,QE_I49,0,0.0
microdados2025_arq4.txt,QE_I50,0,0.0
microdados2025_arq4.txt,QE_I51,0,0.0
microdados2025_arq4.txt,QE_I52,0,0.0
