CO_CURSO,sexo_n_total,sexo_n_valido,sexo_feminino_n,sexo_masculino_n,sexo_indefinido_n,sexo_feminino_pct,sexo_masculino_pct,idade_n,idade_media,idade_mediana,idade_dp,idade_min,idade_max
26,13,13,10,3,0,0.7692307692307693,0.23076923076923078,13,23.46153846153846,23.0,2.183856856396676,21,28
34,7,7,3,4,0,0.42857142857142855,0.5714285714285714,7,31.714285714285715,22.0,13.400426432447162,21,50
161,30,30,7,23,0,0.23333333333333334,0.7666666666666667,30,27.066666666666666,25.0,5.394335044721697,22,43
297,75,75,28,47,0,0.37333333333333335,0.6266666666666667,75,28.08,25.0,7.816752626354607,21,60
379,68,68,24,44,0,0.35294117647058826,0.6470588235294118,68,28.38235294117647,26.0,8.157094543767492,21,56
624,8,8,4,4,0,0.5,0.5,8,25.25,23.0,5.391792704790176,22,38
637,17,17,10,7,0,0.5882352941176471,0.4117647058823529,17,27.41176470588235,26.0,7.357469194035164,22,50
696,17,17,9,8,0,0.5294117647058824,0.47058823529411764,17,26.41176470588235,25.0,5.512018953267166,22,46
768,17,17,7,10,0,0.4117647058823529,0.5882352941176471,17,24.11764705882353,22.0,6.323392611379355,20,46
860,9,9,2,7,0,0.2222222222222222,0.7777777777777778,9,25.333333333333332,25.0,3.0413812651491106,21,30
965,42,42,15,27,0,0.35714285714285715,0.6428571428571429,42,27.285714285714285,25.0,6.7037874780248385,21,46
1035,16,16,4,12,0,0.25,0.75,16,30.8125,27.5,8.45552087888933,22,47
1112,4,4,2,2,0,0.5,0.5,4,25.0,24.5,3.5590260840104366,22,29
1428,9,9,5,4,0,0.5555555555555556,0.4444444444444444,9,24.0,23.0,3.9999999999999996,21,34
1637,7,7,5,2,0,0.7142857142857143,0.2857142857142857,7,26.714285714285715,26.0,5.648430038936652,22,39
1717,8,8,4,4,0,0.5,0.5,8,24.5,22.0,6.324555320336759,21,40
1907,1,1,0,1,0,0.0,1.0,1,42.0,42.0,,42,42
2711,41,41,7,34,0,0.17073170731707318,0.8292682926829268,41,28.146341463414632,25.0,9.435467597341843,21,66
2921,83,83,32,51,0,0.3855421686746988,0.6144578313253012,83,26.746987951807228,24.0,7.59788701932252,20,72
3145,19,19,6,13,0,0.3157894736842105,0.6842105263157895,19,23.263157894736842,23.0,2.329570901431273,21,30
3163,20,20,13,7,0,0.65,0.35,20,24.4,22.0,6.96154852706902,20,51
3179,34,34,18,16,0,0.5294117647058824,0.47058823529411764,34,24.205882352941178,23.0,6.069194004522152,20,56
3217,34,34,14,20,0,0.4117647058823529,0.5882352941176471,34,26.08823529411765,24.0,7.609275229528538,21,64
3407,20,20,14,6,0,0.7,0.3,20,27.4,24.0,10.194941986360844,20,56
3571,30,30,9,21,0,0.3,0.7,30,29.0,25.0,7.651909835977619,22,49
5965,15,15,5,10,0,0.3333333333333333,0.6666666666666666,15,27.133333333333333,25.0,8.716705362747579,19,56
6754,3,3,2,1,0,0.6666666666666666,0.3333333333333333,3,22.666666666666668,23.0,1.5275252316519463,21,24
7081,12,12,4,8,0,0.3333333333333333,0.6666666666666666,12,30.25,27.5,9.046596547371232,21,49
8908,2,2,0,2,0,0.0,1.0,2,28.0,28.0,2.8284271247461903,26,30
9954,12,12,5,7,0,0.4166666666666667,0.5833333333333334,12,38.583333333333336,42.0,10.085618323617888,21,50
10508,11,11,4,7,0,0.36363636363636365,0.6363636363636364,11,40.90909090909091,45.0,9.944390835587122,25,53
10811,5,5,3,2,0,0.6,0.4,5,28.8,26.0,9.757048734120374,22,46
11163,7,7,2,5,0,0.2857142857142857,0.7142857142857143,7,25.714285714285715,23.0,4.956957592256422,22,35
11305,27,27,11,16,0,0.4074074074074074,0.5925925925925926,27,28.88888888888889,27.0,6.344793949090092,21,47
11328,14,14,5,9,0,0.35714285714285715,0.6428571428571429,14,26.5,24.5,6.745368781616021,22,48
11439,30,30,7,23,0,0.23333333333333334,0.7666666666666667,30,27.8,25.0,8.743076078265865,21,60
11540,17,17,5,12,0,0.29411764705882354,0.7058823529411765,17,24.294117647058822,23.0,4.440786893704099,21,37
11591,52,52,26,26,0,0.5,0.5,52,29.942307692307693,27.0,8.112960972826519,22,52
11999,68,68,20,48,0,0.29411764705882354,0.7058823529411765,68,28.83823529411765,26.0,8.998524413227546,20,69
12033,49,49,16,33,0,0.32653061224489793,0.673469387755102,49,29.142857142857142,27.0,6.506407098647707,22,49
12035,68,68,30,38,0,0.4411764705882353,0.5588235294117647,68,25.602941176470587,25.0,4.636454209660564,20,50
12037,31,31,16,15,0,0.5161290322580645,0.4838709677419355,31,29.0,25.0,8.004165582161995,21,45
12044,45,45,14,31,0,0.3111111111111111,0.6888888888888889,45,28.22222222222222,26.0,5.409960884117069,22,45
12074,86,86,31,55,0,0.36046511627906974,0.6395348837209303,86,26.848837209302324,25.0,5.707616050940371,21,56
12354,20,20,6,14,0,0.3,0.7,20,23.7,23.0,4.520130412650549,21,42
12553,30,30,13,17,0,0.43333333333333335,0.5666666666666667,30,28.2,24.0,9.207942598460948,22,58
12702,66,66,23,43,0,0.3484848484848485,0.6515151515151515,66,26.893939393939394,25.5,6.285829699542857,20,56
12713,24,24,13,11,0,0.5416666666666666,0.4583333333333333,24,26.541666666666668,24.5,5.763295906870035,21,42
12806,17,17,8,9,0,0.47058823529411764,0.5294117647058824,17,29.0,25.0,9.447221813845594,21,53
12918,30,30,9,21,0,0.3,0.7,30,25.9,25.0,4.77312880830694,21,44
12969,64,64,20,44,0,0.3125,0.6875,64,26.640625,24.0,8.403263136972823,21,69
13102,14,14,11,3,0,0.7857142857142857,0.21428571428571427,14,25.214285714285715,25.0,2.3916062008157235,22,29
13276,32,32,14,18,0,0.4375,0.5625,32,30.375,27.5,8.88910169996148,21,53
13402,66,66,24,42,0,0.36363636363636365,0.6363636363636364,66,26.454545454545453,24.0,7.306860460567848,21,58
13448,17,17,9,8,0,0.5294117647058824,0.47058823529411764,17,25.058823529411764,24.0,3.66521807392299,20,35
13619,27,27,7,20,0,0.25925925925925924,0.7407407407407407,27,29.48148148148148,25.0,11.748552678031878,20,65
13741,33,33,9,24,0,0.2727272727272727,0.7272727272727273,33,31.03030303030303,27.0,9.954536806416607,21,60
13873,13,13,5,8,0,0.38461538461538464,0.6153846153846154,13,26.692307692307693,24.0,10.811911759602735,21,62
14121,13,13,4,9,0,0.3076923076923077,0.6923076923076923,13,32.53846153846154,30.0,12.26523124265896,20,61
14233,34,34,12,22,0,0.35294117647058826,0.6470588235294118,34,27.735294117647058,25.0,8.81221199324572,22,63
14328,94,94,23,71,0,0.24468085106382978,0.7553191489361702,94,27.925531914893618,26.0,8.379749478768892,21,63
14505,53,53,19,34,0,0.3584905660377358,0.6415094339622641,53,28.18867924528302,25.0,8.635919183569163,21,70
14542,11,11,7,4,0,0.6363636363636364,0.36363636363636365,11,23.454545454545453,23.0,1.634847782739198,21,26
14700,17,17,8,9,0,0.47058823529411764,0.5294117647058824,17,26.705882352941178,25.0,7.371946027698122,21,48
15000,8,8,3,5,0,0.375,0.625,8,25.875,23.5,4.6732521560777895,22,35
15413,48,48,27,21,0,0.5625,0.4375,48,26.0,23.0,8.03450007712749,21,57
15629,7,7,1,6,0,0.14285714285714285,0.8571428571428571,7,24.0,22.0,3.2145502536643193,21,29
15833,15,15,5,10,0,0.3333333333333333,0.6666666666666666,15,22.933333333333334,22.0,2.685055643655043,20,29
