CO_CURSO,registros_microdados,presentes_validos,ausentes,eliminados,resultado_desconsiderado,reaplicacoes,discursiva_valida,discursiva_zero,taxa_presenca_microdados,nt_ger_count,nt_ger_mean,nt_ger_median,nt_ger_std,nt_ger_min,nt_ger_max,nt_ger_p10,nt_ger_p25,nt_ger_p75,nt_ger_p90,nt_ger_iqr,nt_ger_erro_padrao,nt_ger_ic95_inf,nt_ger_ic95_sup,nt_obj_count,nt_obj_mean,nt_obj_median,nt_obj_std,nt_obj_min,nt_obj_max,nt_obj_p10,nt_obj_p25,nt_obj_p75,nt_obj_p90,nt_obj_iqr,nt_obj_erro_padrao,nt_obj_ic95_inf,nt_obj_ic95_sup,nt_dis_count,nt_dis_mean,nt_dis_median,nt_dis_std,nt_dis_min,nt_dis_max,nt_dis_p10,nt_dis_p25,nt_dis_p75,nt_dis_p90,nt_dis_iqr,nt_dis_erro_padrao,nt_dis_ic95_inf,nt_dis_ic95_sup,proficiencia_count,proficiencia_mean,proficiencia_median,proficiencia_std,proficiencia_min,proficiencia_max,proficiencia_p10,proficiencia_p25,proficiencia_p75,proficiencia_p90,proficiencia_iqr,proficiencia_erro_padrao,proficiencia_ic95_inf,proficiencia_ic95_sup,qt_acertos_count,qt_acertos_mean,qt_acertos_median,qt_acertos_std,qt_acertos_min,qt_acertos_max,qt_acertos_p10,qt_acertos_p25,qt_acertos_p75,qt_acertos_p90,qt_acertos_iqr,qt_acertos_erro_padrao,qt_acertos_ic95_inf,qt_acertos_ic95_sup
26,13,11,2,0,0,0,11,0,0.8461538461538461,11,53.48727272727273,50.94,8.110892787984676,42.72,65.52,43.6,47.620000000000005,61.22,62.3,13.599999999999994,2.445526190231346,48.694041394419294,58.28050406012617,11,48.10909090909092,45.5,8.769316341135672,35.9,61.9,38.3,42.0,55.4,59.5,13.399999999999999,2.644048361043571,42.926756121445514,53.29142569673632,11,7.5,7.75,1.3829316685939335,5.0,9.5,5.5,6.875,8.5,8.75,1.625,0.4169695868569271,6.682739609760423,8.317260390239577,11,0.06463636363636364,-0.05206,0.3945962708965387,-0.48618,0.68389,-0.37497,-0.21187,0.39307000000000003,0.5773,0.60494,0.11897525220338684,-0.16855513068227457,0.29782785795500183,11,36.27272727272727,34.0,7.457759839132781,26,48,28.0,31.0,42.5,46.0,11.5,2.248599196634971,31.86547284732273,40.67998169813182
34,7,6,1,0,0,0,4,2,0.8571428571428571,6,44.71,44.08,8.362820098507438,36.72,59.52,37.04,38.525,46.41,53.010000000000005,7.884999999999998,3.4141070086724965,38.018350263001906,51.401649736998095,6,46.61666666666667,43.75,15.821683433398194,29.4,74.4,32.65,37.125,51.05,63.45,13.924999999999997,6.459175213945236,33.956683247334006,59.27665008599933,6,3.7083333333333335,3.125,3.7330170997018843,0.0,9.25,0.0,0.5625,6.0625,8.0,5.5,1.5239978492256625,0.7212975488510351,6.695369117815632,6,-0.0030816666666666492,-0.13255999999999998,0.7116551447271822,-0.77618,1.24659,-0.63118,-0.4310875,0.1969725,0.7544950000000001,0.6280600000000001,0.2905319962346852,-0.5725243792866496,0.5663610459533163,6,35.0,32.5,13.084341787036902,21,58,23.5,27.0,38.75,49.0,11.75,5.341660166402702,24.5303460738507,45.4696539261493
161,30,19,11,0,0,0,19,0,0.6333333333333333,19,55.39894736842105,55.5,13.390141437613657,26.64,82.04,39.44,48.43,64.18,70.168,15.750000000000007,3.0719091245407557,49.378005484321164,61.41988925252093,19,53.03157894736842,52.5,12.908612655965563,33.3,81.3,38.34,44.3,59.55,69.46000000000001,15.25,2.9614388457191607,47.22715880975887,58.83599908497798,19,6.4868421052631575,7.25,2.7807294259511974,0.0,9.75,3.4000000000000004,5.5,8.25,9.149999999999999,2.75,0.6379430819500599,5.23647366464104,7.737210545885275,19,0.2864147368421053,0.2624,0.5808735160980346,-0.59988,1.56045,-0.376104,-0.10518,0.57782,1.025164,0.683,0.13326152398160418,0.025222149838161068,0.5476073238460495,19,40.36842105263158,40.0,10.70934444676854,24,63,28.0,33.0,46.0,54.2,13.0,2.4568921155280297,35.55291250619665,45.183929599066516
297,75,62,13,0,0,0,60,2,0.8266666666666667,62,54.9141935483871,55.15,10.755748679977739,22.48,77.06,41.676,48.88,61.165,68.75999999999999,12.284999999999997,1.365981448339304,52.23686990964206,57.59151718713213,62,52.45322580645161,52.5,11.036804564608175,28.1,75.7,38.55,46.7,58.3,66.58,11.599999999999994,1.4016755813815205,49.70594166694383,55.200509945959396,62,6.475806451612903,7.25,2.3926585449546662,0.0,9.25,4.300000000000001,6.0,8.0,8.5,2.0,0.3038679390773336,5.880225291021329,7.071387612204477,62,0.26011580645161286,0.2624,0.4966061707840675,-0.83677,1.30703,-0.364054,0.00069,0.52441,0.8961939999999999,0.5237200000000001,0.06306904675865486,0.13650047480464933,0.3837311380985764,62,39.96774193548387,40.0,9.232813438919084,20,59,28.200000000000003,35.0,45.0,51.9,10.0,1.1725684793117892,37.66950771603277,42.265976154934975
379,68,42,26,0,0,0,37,5,0.6176470588235294,42,48.255714285714284,49.629999999999995,9.829043608502294,24.56,63.86,32.986000000000004,42.315,55.91,59.18,13.594999999999999,1.5166543557153922,45.283071748512114,51.22835682291645,42,46.37619047619047,46.7,9.52444376517624,23.9,66.7,34.730000000000004,38.625,53.7,57.2,15.075000000000003,1.4696535794922538,43.495669460385656,49.25671149199529,42,5.5773809523809526,6.375,2.618233494519436,0.0,9.75,0.0,5.25,6.75,7.975,1.5,0.4040021991873034,4.785536641973838,6.369225262788067,42,-0.013379999999999998,0.00069,0.4281189543493383,-1.02514,0.90171,-0.5370389999999999,-0.3612675,0.31462,0.47175,0.6758875,0.0660601888383708,-0.14285797012320675,0.11609797012320675,42,34.857142857142854,35.0,7.958953934732352,17,52,25.1,28.25,41.0,44.0,12.75,1.2280932543231746,32.45008007866943,37.26420563561628
624,8,8,0,0,0,0,8,0,1.0,8,59.36,64.14,11.54547777889062,43.14,70.36,45.716,47.285,69.39,69.744,22.105000000000004,4.0819428147460775,51.35939208309769,67.36060791690231,8,56.075,59.55,11.2829517414549,38.3,69.2,42.5,47.0,64.0,67.45,17.0,3.9891258440916624,48.256313345580345,63.89368665441966,8,7.25,7.375,1.7217101133134214,4.25,9.5,5.475,6.1875,8.5625,8.975,2.375,0.6087164481806897,6.056915761565849,8.443084238434151,8,0.42275625,0.57782,0.5070832329520188,-0.37497,1.01376,-0.18601900000000002,0.013677499999999995,0.7787025000000001,0.935325,0.7650250000000001,0.17928099632318514,0.0713654972065571,0.774147002793443,8,43.0,46.0,9.54687682663064,28,54,31.5,35.25,49.75,52.6,14.5,3.3753306716316165,36.38435188360203,49.61564811639797
637,17,16,1,0,0,0,14,2,0.9411764705882353,16,55.06625,53.43,14.801669669331226,25.6,79.3,35.91,49.89,67.295,70.63,17.405,3.7004174173328064,47.8134318620277,62.319068137972295,16,53.637499999999996,53.05,12.615433669385553,32.0,78.5,36.45,47.825,63.4,66.7,15.574999999999996,3.153858417346388,47.45593750200108,59.819062497998914,16,6.078125,6.625,2.851489011610133,0.0,9.75,1.875,4.9375,8.0625,8.75,3.125,0.7128722529025332,4.680895384311035,7.475354615688965,16,0.31415562500000005,0.288545,0.5669483320488002,-0.65781,1.43121,-0.45883,0.052985000000000004,0.75125,0.9019900000000001,0.6982649999999999,0.14173708301220006,0.03635094229608793,0.5919603077039122,16,40.9375,40.5,10.497420318027343,23,61,26.5,36.0,49.25,52.0,13.25,2.6243550795068358,35.7937640441666,46.0812359558334
696,17,15,1,0,0,0,15,0,0.8823529411764706,15,62.565333333333335,62.76,6.766621721642904,49.48,76.06,55.8,58.2,65.19,70.792,6.989999999999995,1.7471342158672218,59.14095027023358,65.9897163964331,15,60.04,58.3,8.357785079108666,43.1,75.7,50.64,57.2,65.5,69.2,8.299999999999997,2.157970828171247,55.81037717678436,64.26962282321564,15,7.266666666666667,7.5,1.3610220249433704,4.75,9.25,5.6,6.125,8.125,8.95,2.0,0.3514143757618113,6.577894490173517,7.955438843159817,15,0.6011473333333334,0.52441,0.37588603311692886,-0.1583,1.30703,0.17885600000000001,0.47175,0.846805,1.01376,0.375055,0.09705335642225567,0.41092275474571227,0.7913719119209545,15,46.333333333333336,45.0,6.976149845485448,32,59,38.4,44.0,51.0,54.0,7.0,1.8012341448141722,42.80291440949756,49.86375225716911
768,17,17,0,0,0,0,15,2,1.0,17,55.001176470588234,55.66,13.079396910003599,23.52,75.9,43.26,46.64,61.52,71.816,14.880000000000003,3.172219704666005,48.78362584944286,61.218727091733605,17,54.817647058823525,58.3,12.167283760874778,29.4,75.7,41.9,46.7,61.9,69.94000000000001,15.199999999999996,2.9509997719381884,49.03368750582467,60.601606611822376,17,5.573529411764706,6.0,2.5917005545984444,0.0,8.75,1.9500000000000002,4.75,7.25,8.1,2.5,0.6285797139165445,4.341513172488279,6.8055456510411325,17,0.3671864705882353,0.52441,0.5474625274041728,-0.77618,1.30703,-0.213012,0.00069,0.68389,1.0493020000000002,0.6832,0.13277916626794162,0.10693930470306973,0.6274336364734008,17,41.94117647058823,45.0,10.14563076054967,21,59,31.0,35.0,48.0,54.6,13.0,2.4606768978977605,37.11824975070862,46.76410319046784
860,9,8,1,0,0,0,8,0,0.8888888888888888,8,58.3075,56.0,12.700973809684266,38.36,82.04,48.636,54.0,60.555,72.87,6.555,4.490472354250241,49.50617418566952,67.10882581433047,8,54.2125,52.5,15.392153613355827,26.7,81.3,41.54,50.449999999999996,58.975,69.39999999999999,8.525000000000006,5.441948098534462,43.54628172687245,64.87871827312755,8,7.46875,7.625,1.1294554629807865,6.0,8.75,6.0,6.5625,8.5,8.575,1.9375,0.3993228084609528,6.686077295416532,8.251422704583467,8,0.3392475,0.26241000000000003,0.6929482483201758,-0.89839,1.56045,-0.23224199999999995,0.1709625,0.5517875,1.022465,0.38082499999999997,0.24499420269926794,-0.14094113729056518,0.8194361372905652,8,41.375,40.0,12.477837495793436,19,63,30.9,38.25,45.5,53.9,7.25,4.411581753909653,32.72829976233708,50.02170023766292
965,42,39,3,0,0,0,37,2,0.9285714285714286,39,48.68307692307692,48.48,11.928153815293278,20.24,69.86,35.712,40.19,56.49,65.828,16.300000000000004,1.910033248746019,44.93941175553472,52.426742090619115,39,47.199999999999996,45.5,10.996865582136529,25.3,67.9,34.34,38.3,54.8,62.860000000000014,16.5,1.7609077833102271,43.74862074471195,50.65137925528804,39,5.461538461538462,5.75,2.505611111991326,0.0,9.25,0.0,4.875,7.0,8.05,2.125,0.40121888151668245,4.675149453765764,6.2479274693111595,39,0.02436179487179487,-0.05206,0.4946576239383942,-0.96115,0.95743,-0.554128,-0.37497,0.36689,0.7274540000000006,0.74186,0.07920861208686614,-0.13088708481846276,0.1796106745620525,39,35.56410256410256,34.0,9.216103959902476,18,53,24.8,28.0,42.0,48.80000000000001,14.0,1.4757577123749364,32.67161744784769,38.45658768035744
1035,16,14,2,0,0,0,12,2,0.875,14,55.51571428571429,58.93000000000001,9.944808242948225,36.4,68.86,39.696000000000005,52.589999999999996,61.125,64.34,8.535000000000004,2.657861801591258,50.30630515459542,60.725123416833156,14,55.42142857142857,56.6,11.529706018763912,30.7,71.7,39.620000000000005,51.3,64.3,65.14,13.0,3.081443549459997,49.381799214486975,61.46105792837017,14,5.589285714285714,6.25,2.582498683552317,0.0,7.75,1.35,5.1875,7.25,7.675000000000001,2.0625,0.6902018054033934,4.236490175695064,6.942081252876365,14,0.39386142857142864,0.4455,0.51814042205471,-0.71655,1.12854,-0.316828,0.2102,0.7919,0.8301550000000001,0.5817000000000001,0.1384788526833695,0.12244287731202441,0.6652799798308329,14,42.5,43.5,9.661581332584941,22,56,29.1,39.0,50.0,50.7,11.0,2.5821662257845475,37.43895419746229,47.56104580253771
1112,4,3,1,0,0,0,3,0,0.75,3,62.80666666666667,63.14,5.347797054239566,57.3,67.98,58.467999999999996,60.22,65.56,67.012,5.340000000000003,3.0875520688367013,56.75506461174674,68.85826872158661,3,59.13333333333333,58.3,3.6226141573915016,56.0,63.1,56.46,57.15,60.7,62.14,3.5500000000000043,2.091517258940133,55.03395950581067,63.232707160855995,3,7.75,8.25,1.3228756555322954,6.25,8.75,6.65,7.25,8.5,8.65,1.25,0.7637626158259734,6.253025272981092,9.246974727018907,3,0.5604533333333334,0.52441,0.16225579198701456,0.41925,0.7377,0.440282,0.47183,0.631055,0.695042,0.159225,0.0936784251812788,0.37684361997802696,0.7440630466886398,3,45.666666666666664,45.0,3.0550504633038944,43,49,43.4,44.0,47.0,48.2,3.0,1.7638342073763944,42.209551620208934,49.123781713124394
1428,9,7,2,0,0,0,6,1,0.7777777777777778,7,57.90857142857143,59.84,9.96355262706937,42.0,68.94,46.488,51.67,65.62,68.34,13.950000000000003,3.765868917989976,50.52746834931108,65.28967450783178,7,54.528571428571425,54.8,8.054132331855966,43.1,64.3,45.260000000000005,49.6,60.15,64.3,10.549999999999997,3.0441758823565186,48.56198669915265,60.4951561579902,7,7.142857142857143,8.25,3.1978415339398034,0.0,9.25,4.500000000000001,7.75,8.5,8.95,0.75,1.2086704901425767,4.773862982177693,9.511851303536593,7,0.35353285714285715,0.36689,0.3613873298698727,-0.1583,0.7919,-0.06290599999999999,0.131545,0.605575,0.7919,0.47402999999999995,0.1365915716864782,0.08581337663735988,0.6212523376483544,7,41.714285714285715,42.0,6.84870512613603,32,50,33.8,37.5,46.5,50.0,9.0,2.5885672237955974,36.64069395564634,46.78787747292509
