CO_CURSO,qe_i68_n,qe_i68_media,qe_i68_mediana,qe_i68_dp,qe_i68_nota_9_10_n,qe_i68_nota_0_6_n,qe_i68_nota_9_10_pct,qe_i68_nota_0_6_pct,qe_i69_n,qe_i69_media,qe_i69_mediana,qe_i69_dp,qe_i69_nota_9_10_n,qe_i69_nota_0_6_n,qe_i69_nota_9_10_pct,qe_i69_nota_0_6_pct,qe_i70_n,qe_i70_interesse_n,qe_i70_interesse_pct
26,13,7.615384615384615,8.0,1.445594545418455,4,3,0.3076923076923077,0.23076923076923078,13,8.846153846153847,10.0,1.5191090506255,8,2,0.6153846153846154,0.15384615384615385,13,13,1.0
34,6,7.666666666666667,7.5,2.065591117977289,2,2,0.3333333333333333,0.3333333333333333,6,7.666666666666667,9.0,3.204163957519444,3,2,0.5,0.3333333333333333,6,6,1.0
161,21,6.714285714285714,8.0,3.378503472587488,10,9,0.47619047619047616,0.42857142857142855,21,8.095238095238095,10.0,2.643950867636574,13,6,0.6190476190476191,0.2857142857142857,21,16,0.7619047619047619
297,68,8.029411764705882,8.0,1.9314412547257394,31,9,0.45588235294117646,0.1323529411764706,68,8.985294117647058,9.5,1.2754004002117947,46,3,0.6764705882352942,0.04411764705882353,68,64,0.9411764705882353
379,46,8.41304347826087,9.0,1.8806155842822883,28,8,0.6086956521739131,0.17391304347826086,46,9.456521739130435,10.0,1.187088347159281,39,3,0.8478260869565217,0.06521739130434782,46,43,0.9347826086956522
624,8,6.625,7.5,2.8252686345094435,1,2,0.125,0.25,8,9.375,9.5,0.7440238091428452,7,0,0.875,0.0,8,7,0.875
637,16,6.875,7.0,2.578759391645525,3,4,0.1875,0.25,16,8.5,9.5,2.7568097504180447,13,2,0.8125,0.125,16,12,0.75
696,16,7.625,8.5,2.8953986484305285,8,4,0.5,0.25,16,9.625,10.0,1.0878112581387145,14,1,0.875,0.0625,16,13,0.8125
768,17,8.352941176470589,8.0,1.4116115112960541,7,1,0.4117647058823529,0.058823529411764705,17,9.117647058823529,10.0,1.536324873731809,12,1,0.7058823529411765,0.058823529411764705,17,17,1.0
860,9,7.666666666666667,9.0,3.122498999199199,5,2,0.5555555555555556,0.2222222222222222,9,9.11111111111111,10.0,1.6158932858054427,8,1,0.8888888888888888,0.1111111111111111,9,9,1.0
965,41,8.75609756097561,10.0,1.7997289768862146,27,6,0.6585365853658537,0.14634146341463414,41,9.512195121951219,10.0,1.1857898468850248,36,2,0.8780487804878049,0.04878048780487805,41,40,0.975609756097561
1035,16,8.75,9.5,1.693123346560039,10,1,0.625,0.0625,16,9.75,10.0,0.5773502691896266,15,0,0.9375,0.0,16,16,1.0
1112,3,8.0,8.0,1.0,1,0,0.3333333333333333,0.0,3,8.333333333333334,8.0,1.5275252316519465,1,0,0.3333333333333333,0.0,3,3,1.0
1428,8,7.5,8.0,2.449489742783178,3,2,0.375,0.25,8,8.875,9.0,1.1259916264596035,5,0,0.625,0.0,8,7,0.875
1637,7,8.428571428571429,9.0,1.7182493859684491,4,1,0.5714285714285714,0.14285714285714285,7,7.857142857142857,9.0,3.132015933791495,5,2,0.7142857142857143,0.2857142857142857,7,4,0.5714285714285714
1717,7,8.571428571428571,9.0,1.9023794624226835,5,1,0.7142857142857143,0.14285714285714285,7,9.142857142857142,10.0,1.4638501094227998,6,1,0.8571428571428571,0.14285714285714285,7,6,0.8571428571428571
1907,0,,,,0,0,nan,nan,0,,,,0,0,nan,nan,0,0,
2711,35,8.4,8.0,1.556768901206825,17,4,0.4857142857142857,0.11428571428571428,35,9.4,10.0,1.6485287558376192,30,1,0.8571428571428571,0.02857142857142857,35,26,0.7428571428571429
2921,77,7.48051948051948,8.0,2.118902332579361,22,18,0.2857142857142857,0.23376623376623376,77,9.181818181818182,10.0,1.2641543119421448,60,4,0.7792207792207793,0.05194805194805195,77,56,0.7272727272727273
3145,18,8.5,10.0,2.255711704566354,11,3,0.6111111111111112,0.16666666666666666,18,9.38888888888889,10.0,1.0921586228732252,14,0,0.7777777777777778,0.0,18,12,0.6666666666666666
3163,19,6.578947368421052,8.0,3.3385923426512187,6,7,0.3157894736842105,0.3684210526315789,19,8.631578947368421,10.0,2.629121659747678,14,2,0.7368421052631579,0.10526315789473684,19,18,0.9473684210526315
3179,32,8.1875,8.0,1.941690317821712,15,5,0.46875,0.15625,32,9.65625,10.0,0.8654432017665116,28,0,0.875,0.0,32,30,0.9375
3217,33,7.606060606060606,8.0,2.474108348721236,14,7,0.42424242424242425,0.21212121212121213,33,9.545454545454545,10.0,0.9384464919119356,28,1,0.8484848484848485,0.030303030303030304,33,26,0.7878787878787878
3407,16,7.75,9.5,3.356585566713095,9,4,0.5625,0.25,16,8.25,10.0,3.396076167186674,11,2,0.6875,0.125,16,14,0.875
3571,27,7.518518518518518,9.0,3.0429030972509223,14,8,0.5185185185185185,0.2962962962962963,27,8.518518518518519,9.0,1.695477476890765,16,3,0.5925925925925926,0.1111111111111111,27,26,0.9629629629629629
5965,15,8.533333333333333,9.0,1.4074631010979939,9,1,0.6,0.06666666666666667,15,8.4,9.0,1.3522468075656267,8,1,0.5333333333333333,0.06666666666666667,15,13,0.8666666666666667
6754,3,8.333333333333334,8.0,1.5275252316519465,1,0,0.3333333333333333,0.0,3,8.333333333333334,8.0,1.5275252316519465,1,0,0.3333333333333333,0.0,3,2,0.6666666666666666
7081,10,9.3,10.0,1.1595018087284064,7,0,0.7,0.0,11,9.636363636363637,10.0,0.6741998624632429,10,0,0.9090909090909091,0.0,11,11,1.0
8908,2,8.5,8.5,2.1213203435596424,1,0,0.5,0.0,2,8.5,8.5,2.1213203435596424,1,0,0.5,0.0,2,2,1.0
9954,12,9.666666666666666,10.0,0.6513389472789305,11,0,0.9166666666666666,0.0,12,9.75,10.0,0.6215815605080611,11,0,0.9166666666666666,0.0,12,11,0.9166666666666666
10508,5,8.6,8.0,1.3416407864998738,2,0,0.4,0.0,5,8.6,8.0,1.3416407864998738,2,0,0.4,0.0,5,4,0.8
10811,5,9.8,10.0,0.44721359549995804,5,0,1.0,0.0,5,10.0,10.0,0.0,5,0,1.0,0.0,5,5,1.0
11163,6,8.5,8.5,1.3784048752090226,3,0,0.5,0.0,6,9.0,9.5,1.2649110640673515,4,0,0.6666666666666666,0.0,6,6,1.0
11305,20,6.9,7.0,2.8635642126552705,7,7,0.35,0.35,20,8.8,10.0,2.0416711421361624,15,3,0.75,0.15,20,19,0.95
11328,13,6.846153846153846,6.0,2.339734808553947,4,7,0.3076923076923077,0.5384615384615384,13,8.615384615384615,9.0,1.804552647170555,8,2,0.6153846153846154,0.15384615384615385,13,12,0.9230769230769231
11439,21,8.047619047619047,8.0,2.1325147238926734,10,4,0.47619047619047616,0.19047619047619047,21,8.666666666666666,9.0,1.7701224063135672,14,3,0.6666666666666666,0.14285714285714285,21,21,1.0
11540,17,9.470588235294118,10.0,1.328422328310143,14,1,0.8235294117647058,0.058823529411764705,17,9.705882352941176,10.0,0.8488746876271653,15,0,0.8823529411764706,0.0,17,15,0.8823529411764706
11591,32,7.96875,8.0,1.874865586579992,11,4,0.34375,0.125,32,8.3125,9.0,2.442070776496733,18,4,0.5625,0.125,32,31,0.96875
11999,62,7.354838709677419,8.0,2.7645102978056926,27,19,0.43548387096774194,0.3064516129032258,62,8.629032258064516,10.0,2.2193919634591235,44,7,0.7096774193548387,0.11290322580645161,62,59,0.9516129032258065
12033,36,7.777777777777778,8.0,2.331291623740074,16,10,0.4444444444444444,0.2777777777777778,36,9.13888888888889,10.0,1.5334886049747167,28,1,0.7777777777777778,0.027777777777777776,36,35,0.9722222222222222
12035,55,8.218181818181819,9.0,2.0520171565497236,28,10,0.509090909090909,0.18181818181818182,55,8.8,10.0,1.8698385749300108,40,6,0.7272727272727273,0.10909090909090909,55,52,0.9454545454545454
12037,31,8.129032258064516,9.0,2.5656959482613537,16,5,0.5161290322580645,0.16129032258064516,31,9.67741935483871,10.0,0.7017642896867643,29,0,0.9354838709677419,0.0,31,30,0.967741935483871
12044,36,9.083333333333334,10.0,1.5743479375828675,25,2,0.6944444444444444,0.05555555555555555,36,9.416666666666666,10.0,1.9030051422496395,32,2,0.8888888888888888,0.05555555555555555,36,35,0.9722222222222222
12074,79,9.10126582278481,10.0,1.7066606823978183,62,5,0.7848101265822784,0.06329113924050633,79,9.620253164556962,10.0,1.1243664594277127,72,2,0.9113924050632911,0.02531645569620253,79,78,0.9873417721518988
12354,19,6.2631578947368425,6.0,2.468515191661171,3,10,0.15789473684210525,0.5263157894736842,19,8.31578947368421,8.0,1.857496271237393,9,2,0.47368421052631576,0.10526315789473684,19,19,1.0
12553,21,8.142857142857142,8.0,2.2424476423255526,10,3,0.47619047619047616,0.14285714285714285,21,9.0,10.0,2.4698178070456938,17,2,0.8095238095238095,0.09523809523809523,21,16,0.7619047619047619
12702,61,7.934426229508197,8.0,2.286692316126917,28,12,0.45901639344262296,0.19672131147540983,61,9.245901639344263,10.0,1.299432410771695,47,2,0.7704918032786885,0.03278688524590164,61,57,0.9344262295081968
12713,24,9.125,10.0,1.153915828442627,18,0,0.75,0.0,24,9.625,10.0,0.9237212077056678,22,1,0.9166666666666666,0.041666666666666664,24,24,1.0
12806,17,6.352941176470588,7.0,2.44798836983012,3,7,0.17647058823529413,0.4117647058823529,17,8.823529411764707,10.0,1.5904124511289144,11,2,0.6470588235294118,0.11764705882352941,17,16,0.9411764705882353
12918,30,7.566666666666666,9.0,3.1478874507038603,16,9,0.5333333333333333,0.3,30,8.833333333333334,10.0,1.895245108947258,19,4,0.6333333333333333,0.13333333333333333,30,28,0.9333333333333333
12969,57,6.298245614035087,7.0,2.853349612302191,11,27,0.19298245614035087,0.47368421052631576,57,8.75438596491228,10.0,2.0639828154945095,41,9,0.7192982456140351,0.15789473684210525,57,44,0.7719298245614035
13102,13,7.384615384615385,8.0,2.7245324228345904,5,3,0.38461538461538464,0.23076923076923078,13,8.076923076923077,9.0,2.841992800294026,9,3,0.6923076923076923,0.23076923076923078,13,11,0.8461538461538461
13276,30,8.2,8.5,2.0068847019439238,15,6,0.5,0.2,30,9.3,10.0,1.4178662939735207,24,1,0.8,0.03333333333333333,30,28,0.9333333333333333
13402,55,6.781818181818182,7.0,2.462240090370203,14,22,0.2545454545454545,0.4,55,8.436363636363636,9.0,1.9791846091690686,32,7,0.5818181818181818,0.12727272727272726,55,53,0.9636363636363636
13448,17,8.294117647058824,8.0,1.3117119482928095,8,1,0.47058823529411764,0.058823529411764705,17,9.058823529411764,9.0,0.8993461677306274,13,0,0.7647058823529411,0.0,17,17,1.0
13619,21,7.333333333333333,7.0,2.081665999466132,6,9,0.2857142857142857,0.42857142857142855,21,8.714285714285714,9.0,1.4192553379451192,11,2,0.5238095238095238,0.09523809523809523,21,19,0.9047619047619048
13741,29,7.9655172413793105,9.0,2.542253761368466,16,5,0.5517241379310345,0.1724137931034483,29,9.655172413793103,10.0,0.8139788549800779,25,0,0.8620689655172413,0.0,29,27,0.9310344827586207
13873,13,8.076923076923077,9.0,1.6563785025137652,7,2,0.5384615384615384,0.15384615384615385,13,9.76923076923077,10.0,0.5991446895152781,12,0,0.9230769230769231,0.0,13,13,1.0
14121,12,7.25,8.0,2.8324419275118906,4,3,0.3333333333333333,0.25,12,7.5,8.0,2.1950357213908434,5,5,0.4166666666666667,0.4166666666666667,12,11,0.9166666666666666
14233,30,4.966666666666667,5.5,3.1015383650512947,4,19,0.13333333333333333,0.6333333333333333,30,7.166666666666667,8.0,2.6140645235596858,12,9,0.4,0.3,30,25,0.8333333333333334
14328,84,7.642857142857143,8.0,2.2042831096614446,33,23,0.39285714285714285,0.27380952380952384,84,9.05952380952381,10.0,1.6380357799186627,67,5,0.7976190476190477,0.05952380952380952,84,74,0.8809523809523809
14505,38,7.184210526315789,7.0,2.323269634011221,11,11,0.2894736842105263,0.2894736842105263,38,9.157894736842104,10.0,1.4800715064806413,30,3,0.7894736842105263,0.07894736842105263,38,38,1.0
14542,11,8.818181818181818,9.0,1.2504544628399565,7,1,0.6363636363636364,0.09090909090909091,11,9.363636363636363,10.0,1.0269106361049416,9,0,0.8181818181818182,0.0,11,10,0.9090909090909091
14700,15,7.733333333333333,8.0,2.3441924185608345,6,3,0.4,0.2,15,9.333333333333334,10.0,1.5886502207249786,13,1,0.8666666666666667,0.06666666666666667,15,13,0.8666666666666667
15000,8,7.375,8.0,2.615202805574687,3,2,0.375,0.25,8,8.5,9.5,2.390457218668787,5,1,0.625,0.125,8,6,0.75
15413,41,9.024390243902438,10.0,1.3320624024055492,29,2,0.7073170731707317,0.04878048780487805,41,9.439024390243903,10.0,1.0965578071356945,33,1,0.8048780487804879,0.024390243902439025,41,38,0.926829268292683
15629,7,10.0,10.0,0.0,7,0,1.0,0.0,7,10.0,10.0,0.0,7,0,1.0,0.0,7,7,1.0
15833,15,8.066666666666666,8.0,2.0862360730226466,7,3,0.4666666666666667,0.2,15,8.933333333333334,10.0,2.1201976547572388,12,1,0.8,0.06666666666666667,15,13,0.8666666666666667
15862,8,6.625,7.0,2.9246489410818914,2,3,0.25,0.375,8,7.75,8.0,2.434865792722759,3,2,0.375,0.25,8,7,0.875
15865,5,9.6,10.0,0.8944271909999157,4,0,0.8,0.0,5,9.0,9.0,0.9999999999999998,3,0,0.6,0.0,5,2,0.4
15868,13,7.076923076923077,7.0,2.177978361598146,4,4,0.3076923076923077,0.3076923076923077,13,7.846153846153846,9.0,3.105000103224739,7,2,0.5384615384615384,0.15384615384615385,13,11,0.8461538461538461
16009,29,8.931034482758621,10.0,1.8309059912427168,22,3,0.7586206896551724,0.10344827586206896,29,9.379310344827585,10.0,1.7405621650048317,25,1,0.8620689655172413,0.034482758620689655,29,29,1.0
16010,9,9.222222222222221,10.0,1.2018504251546636,6,0,0.6666666666666666,0.0,9,9.777777777777779,10.0,0.6666666666666667,8,0,0.8888888888888888,0.0,9,8,0.8888888888888888
16268,24,7.75,8.0,1.9836286468731117,10,6,0.4166666666666667,0.25,24,9.0,10.0,1.532261755365748,19,2,0.7916666666666666,0.08333333333333333,24,23,0.9583333333333334
16272,9,8.88888888888889,10.0,2.619372274250285,8,1,0.8888888888888888,0.1111111111111111,9,10.0,10.0,0.0,9,0,1.0,0.0,9,8,0.8888888888888888
16403,12,9.25,10.0,1.1381803659589924,10,0,0.8333333333333334,0.0,12,9.333333333333334,10.0,1.0730867399773196,9,0,0.75,0.0,12,11,0.9166666666666666
17154,9,8.555555555555555,9.0,1.5092308563562353,5,0,0.5555555555555556,0.0,9,8.444444444444445,8.0,1.3333333333333333,4,0,0.4444444444444444,0.0,9,9,1.0
17196,27,8.148148148148149,9.0,2.332112012478482,14,3,0.5185185185185185,0.1111111111111111,27,8.777777777777779,10.0,1.8045526471705546,18,4,0.6666666666666666,0.14814814814814814,27,24,0.8888888888888888
18354,0,,,,0,0,nan,nan,0,,,,0,0,nan,nan,0,0,
18382,9,9.88888888888889,10.0,0.33333333333333326,9,0,1.0,0.0,9,9.88888888888889,10.0,0.33333333333333326,9,0,1.0,0.0,9,9,1.0
18877,9,8.11111111111111,8.0,1.9649710204252662,4,2,0.4444444444444444,0.2222222222222222,9,9.444444444444445,10.0,0.881917103688197,7,0,0.7777777777777778,0.0,9,9,1.0
