CO_CURSO,ano_fim_em_n,ano_fim_em_mediana,ano_ingresso_n,ano_ingresso_mediana,anos_desde_ingresso_media,anos_desde_ingresso_mediana,turno_n_valido,turno_noturno_n,turno_noturno_pct
26,13,2019.0,13,2022.0,3.230769230769231,3.0,13,0,0.0
34,7,2020.0,7,2022.0,5.0,3.0,7,4,0.5714285714285714
161,30,2018.0,30,2019.5,5.466666666666667,5.5,30,30,1.0
297,75,2017.0,75,2020.0,4.76,5.0,75,29,0.38666666666666666
379,68,2017.0,68,2020.0,5.485294117647059,5.0,68,32,0.47058823529411764
624,8,2019.0,8,2021.0,4.625,4.0,8,0,0.0
637,17,2018.0,17,2019.0,5.705882352941177,6.0,17,17,1.0
696,17,2017.0,17,2019.0,5.411764705882353,6.0,17,5,0.29411764705882354
768,17,2021.0,17,2022.0,3.3529411764705883,3.0,17,17,1.0
860,9,2017.0,9,2022.0,4.0,3.0,9,9,1.0
965,42,2018.0,42,2022.0,3.119047619047619,3.0,42,42,1.0
1035,16,2015.5,16,2021.0,4.625,4.0,16,16,1.0
1112,4,2017.5,4,2021.5,3.5,3.5,4,4,1.0
1428,9,2020.0,9,2020.0,4.777777777777778,5.0,9,0,0.0
1637,7,2018.0,7,2020.0,5.142857142857143,5.0,7,7,1.0
1717,8,2020.0,8,2022.0,2.875,3.0,8,8,1.0
1907,1,2000.0,1,2019.0,6.0,6.0,1,1,1.0
2711,41,2017.0,41,2020.0,5.121951219512195,5.0,41,41,1.0
2921,83,2019.0,83,2021.0,4.63855421686747,4.0,83,56,0.6746987951807228
3145,19,2020.0,19,2021.0,3.789473684210526,4.0,19,0,0.0
3163,20,2020.0,20,2022.0,3.95,3.0,20,10,0.5
3179,34,2019.0,34,2021.0,4.088235294117647,4.0,34,16,0.47058823529411764
3217,34,2018.0,34,2020.0,4.735294117647059,5.0,34,34,1.0
3407,20,2018.0,20,2020.0,4.85,5.0,20,20,1.0
3571,30,2017.5,30,2020.0,5.633333333333334,5.0,30,1,0.03333333333333333
5965,15,2017.0,15,2022.0,2.8666666666666667,3.0,15,15,1.0
6754,3,2020.0,3,2022.0,3.0,3.0,3,3,1.0
7081,12,2016.5,12,2022.0,4.583333333333333,3.0,12,12,1.0
8908,2,2014.0,2,2017.5,7.5,7.5,2,2,1.0
9954,12,2004.0,12,2022.0,3.0833333333333335,3.0,12,0,0.0
10508,11,2001.0,11,2019.0,9.545454545454545,6.0,11,11,1.0
10811,5,2019.0,5,2021.0,4.2,4.0,5,5,1.0
11163,7,2019.0,7,2022.0,4.142857142857143,3.0,7,7,1.0
11305,27,2016.0,27,2018.0,7.444444444444445,7.0,27,11,0.4074074074074074
11328,14,2018.5,14,2020.0,5.642857142857143,5.0,14,14,1.0
11439,30,2017.0,30,2019.5,5.633333333333334,5.5,30,0,0.0
11540,17,2020.0,17,2021.0,4.235294117647059,4.0,17,0,0.0
11591,52,2016.0,52,2019.0,7.288461538461538,6.0,52,28,0.5384615384615384
11999,68,2016.0,68,2019.5,5.823529411764706,5.5,68,0,0.0
12033,49,2017.0,49,2019.0,5.6938775510204085,6.0,49,22,0.4489795918367347
12035,68,2018.0,68,2020.0,5.1911764705882355,5.0,68,0,0.0
12037,31,2018.0,31,2022.0,3.7096774193548385,3.0,31,10,0.3225806451612903
12044,45,2017.0,45,2018.0,6.533333333333333,7.0,45,4,0.08888888888888889
12074,86,2017.0,86,2020.0,5.174418604651163,5.0,86,16,0.18604651162790697
12354,20,2021.0,20,2022.0,3.6,3.0,20,0,0.0
12553,30,2017.0,30,2020.0,5.533333333333333,5.0,30,18,0.6
12702,66,2019.0,66,2020.0,5.409090909090909,5.0,66,30,0.45454545454545453
12713,24,2019.0,24,2020.0,4.25,5.0,24,24,1.0
12806,17,2018.0,17,2021.0,4.294117647058823,4.0,17,0,0.0
12918,30,2017.5,30,2020.0,5.033333333333333,5.0,30,0,0.0
12969,64,2018.5,64,2021.0,4.421875,4.0,64,26,0.40625
13102,14,2017.5,14,2019.5,5.714285714285714,5.5,14,0,0.0
13276,32,2018.5,32,2020.0,7.0,5.0,32,25,0.78125
13402,66,2018.0,66,2020.0,4.878787878787879,5.0,66,34,0.5151515151515151
13448,17,2018.0,17,2021.0,3.411764705882353,4.0,17,6,0.35294117647058826
13619,27,2019.0,27,2021.0,4.148148148148148,4.0,27,27,1.0
13741,33,2015.0,33,2019.0,6.666666666666667,6.0,33,15,0.45454545454545453
13873,13,2019.0,13,2021.0,4.769230769230769,4.0,13,0,0.0
14121,13,2014.0,13,2020.0,4.3076923076923075,5.0,13,13,1.0
14233,34,2018.0,34,2020.0,5.4411764705882355,5.0,34,0,0.0
14328,94,2017.5,94,2020.0,6.553191489361702,5.0,94,59,0.6276595744680851
14505,53,2017.0,53,2020.0,5.660377358490566,5.0,53,23,0.4339622641509434
14542,11,2019.0,11,2020.0,4.636363636363637,5.0,11,11,1.0
14700,17,2018.0,17,2021.0,5.0588235294117645,4.0,17,17,1.0
15000,8,2019.5,8,2021.5,4.375,3.5,8,0,0.0
15413,48,2019.0,48,2021.0,5.083333333333333,4.0,48,0,0.0
15629,7,2021.0,7,2022.0,3.0,3.0,7,7,1.0
15833,15,2019.0,15,2022.0,3.466666666666667,3.0,15,15,1.0
15862,10,2010.0,10,2021.5,3.9,3.5,10,0,0.0
15865,6,2018.0,6,2020.5,4.5,4.5,6,6,1.0
15868,14,2018.0,14,2019.5,5.071428571428571,5.5,14,4,0.2857142857142857
16009,39,2014.0,39,2020.0,5.589743589743589,5.0,39,0,0.0
16010,10,2011.5,10,2020.0,5.4,5.0,10,10,1.0
16268,32,2016.0,32,2019.5,6.0,5.5,32,32,1.0
16272,9,2015.0,9,2019.0,5.555555555555555,6.0,9,9,1.0
16403,13,2020.0,13,2022.0,3.5384615384615383,3.0,13,13,1.0
17154,19,2016.0,19,2019.0,5.2631578947368425,6.0,19,9,0.47368421052631576
17196,39,2016.0,39,2018.0,7.6923076923076925,7.0,39,0,0.0
18354,1,2020.0,1,2020.0,5.0,5.0,1,1,1.0
18382,9,2020.0,9,2022.0,3.0,3.0,9,0,0.0
18877,9,2017.0,9,2020.0,4.777777777777778,5.0,9,9,1.0
18892,16,2016.0,16,2021.0,4.9375,4.0,16,10,0.625
18954,6,2019.0,6,2022.0,3.1666666666666665,3.0,6,0,0.0
18959,6,2018.5,6,2021.5,4.166666666666667,3.5,6,6,1.0
18961,22,2013.5,22,2022.0,4.0,3.0,22,22,1.0
19026,1,2019.0,1,2020.0,5.0,5.0,1,1,1.0
19060,49,2016.0,49,2022.0,2.7142857142857144,3.0,49,49,1.0
19077,21,2016.0,21,2017.0,7.857142857142857,8.0,21,13,0.6190476190476191
19191,4,2020.0,4,2022.0,3.0,3.0,4,4,1.0
19367,2,2018.0,2,2020.0,5.0,5.0,2,2,1.0
19396,9,2016.0,9,2021.0,3.4444444444444446,4.0,9,0,0.0
20315,11,2021.0,11,2022.0,3.5454545454545454,3.0,11,11,1.0
20392,43,2018.0,43,2021.0,4.72093023255814,4.0,43,19,0.4418604651162791
20578,10,2016.5,10,2019.0,6.7,6.0,10,0,0.0
20854,18,2015.5,18,2020.0,5.444444444444445,5.0,18,18,1.0
21427,11,2020.0,11,2022.0,3.4545454545454546,3.0,11,0,0.0
21443,43,2017.0,43,2020.0,5.511627906976744,5.0,43,0,0.0
21578,6,2018.0,6,2019.5,4.833333333333333,5.5,6,0,0.0
21808,5,2019.0,5,2022.0,3.6,3.0,5,5,1.0
21822,9,2020.0,9,2021.0,4.444444444444445,4.0,9,9,1.0
21869,10,2021.0,10,2022.0,3.5,3.0,10,0,0.0
21876,10,2016.5,10,2022.0,3.4,3.0,10,10,1.0
21879,14,2020.0,14,2022.0,3.5,3.0,14,14,1.0
21892,1,2018.0,1,2019.0,6.0,6.0,1,1,1.0
27518,13,2019.0,13,2020.0,5.538461538461538,5.0,13,13,1.0
29447,16,2020.0,16,2022.0,3.375,3.0,16,16,1.0
38246,23,2018.0,23,2021.0,3.782608695652174,4.0,23,23,1.0
38431,8,2008.0,8,2018.0,7.0,7.0,8,8,1.0
38678,15,2016.0,15,2018.0,6.733333333333333,7.0,15,15,1.0
39715,4,2018.5,4,2021.0,4.0,4.0,4,4,1.0
41069,6,2018.5,6,2021.5,3.0,3.5,6,6,1.0
41490,16,2017.0,16,2019.5,5.8125,5.5,16,16,1.0
43037,26,2017.0,26,2021.0,5.153846153846154,4.0,26,25,0.9615384615384616
43084,9,2021.0,9,2022.0,3.3333333333333335,3.0,9,9,1.0
44372,32,2019.0,32,2020.0,4.90625,5.0,32,0,0.0
45102,7,2020.0,7,2021.0,4.428571428571429,4.0,7,7,1.0
45701,7,2017.0,7,2022.0,3.7142857142857144,3.0,7,7,1.0
45703,7,2017.0,7,2021.0,4.142857142857143,4.0,7,7,1.0
46729,13,2019.0,13,2022.0,3.5384615384615383,3.0,13,13,1.0
47333,6,2020.0,6,2021.5,3.5,3.5,6,6,1.0
48289,34,2016.0,34,2021.0,3.764705882352941,4.0,34,3,0.08823529411764706
48946,11,2017.0,11,2020.0,4.909090909090909,5.0,11,11,1.0
49324,83,2004.0,83,2019.0,5.831325301204819,6.0,83,0,0.0
50439,3,2017.0,3,2018.0,6.0,7.0,3,3,1.0
52068,2,2018.0,2,2022.0,3.0,3.0,2,2,1.0
52139,6,2018.0,6,2022.0,3.0,3.0,6,6,1.0
52442,40,2017.0,40,2019.0,6.2,6.0,40,17,0.425
55811,18,2021.0,18,2022.0,3.3333333333333335,3.0,18,18,1.0
58522,13,2018.0,13,2020.0,4.923076923076923,5.0,13,6,0.46153846153846156
58526,9,2018.0,9,2020.0,5.555555555555555,5.0,9,3,0.3333333333333333
58588,19,2019.0,19,2020.0,5.0,5.0,19,11,0.5789473684210527
59272,27,2019.0,27,2021.0,5.111111111111111,4.0,27,27,1.0
59426,69,2020.0,69,2021.0,4.2898550724637685,4.0,69,43,0.6231884057971014
59996,54,2020.0,54,2021.0,4.314814814814815,4.0,54,54,1.0
60290,7,2020.0,7,2021.0,4.428571428571429,4.0,7,7,1.0
60760,31,2017.0,31,2018.0,6.774193548387097,7.0,31,29,0.9354838709677419
61024,15,2019.0,15,2021.0,4.933333333333334,4.0,15,3,0.2
61669,18,2018.0,18,2019.5,6.0,5.5,18,6,0.3333333333333333
63062,32,2019.0,32,2020.0,5.53125,5.0,32,1,0.03125
63383,32,2015.0,32,2018.0,7.65625,7.0,32,0,0.0
64604,11,2013.0,11,2020.0,6.090909090909091,5.0,11,11,1.0
68313,6,2019.0,6,2021.5,3.8333333333333335,3.5,6,6,1.0
68511,37,2011.0,37,2021.0,4.081081081081081,4.0,37,37,1.0
70522,21,2015.0,21,2020.0,5.523809523809524,5.0,21,0,0.0
71037,9,2009.0,9,2020.0,6.222222222222222,5.0,9,6,0.6666666666666666
71419,15,2018.0,15,2020.0,4.466666666666667,5.0,15,15,1.0
74276,6,2011.0,6,2022.0,3.0,3.0,6,6,1.0
76212,2,2015.5,2,2018.5,6.5,6.5,2,2,1.0
80827,5,2020.0,5,2021.0,4.4,4.0,5,5,1.0
81423,23,2019.0,23,2020.0,5.478260869565218,5.0,23,8,0.34782608695652173
81660,9,2019.0,9,2022.0,3.111111111111111,3.0,9,9,1.0
81812,19,2018.0,19,2020.0,5.842105263157895,5.0,19,4,0.21052631578947367
82658,39,2016.0,39,2019.0,5.794871794871795,6.0,39,20,0.5128205128205128
83289,17,2018.0,17,2020.0,5.647058823529412,5.0,17,0,0.0
83302,35,2019.0,35,2022.0,4.057142857142857,3.0,35,23,0.6571428571428571
83312,19,2017.0,19,2021.0,5.473684210526316,4.0,19,10,0.5263157894736842
83318,22,2019.0,22,2021.0,4.681818181818182,4.0,22,7,0.3181818181818182
83330,14,2016.0,14,2017.5,7.428571428571429,7.5,14,2,0.14285714285714285
83929,22,2016.0,22,2020.0,5.5,5.0,22,22,1.0
84374,10,2018.0,10,2020.0,5.3,5.0,10,0,0.0
85320,22,2018.0,22,2019.0,6.454545454545454,6.0,22,18,0.8181818181818182
85760,19,2020.0,19,2022.0,3.0,3.0,19,19,1.0
86396,34,2011.5,34,2017.0,8.0,8.0,34,0,0.0
88788,34,2013.0,34,2022.5,2.9705882352941178,2.5,34,0,0.0
92391,12,2017.0,12,2020.5,4.833333333333333,4.5,12,0,0.0
94692,5,2007.0,5,2022.0,4.6,3.0,5,0,0.0
95055,17,2018.0,17,2020.0,4.823529411764706,5.0,17,0,0.0
95221,7,2001.0,7,2024.0,3.4285714285714284,1.0,7,2,0.2857142857142857
96158,44,2017.0,44,2020.0,5.090909090909091,5.0,44,44,1.0
96913,17,2015.0,17,2020.0,6.647058823529412,5.0,17,0,0.0
96955,3,2017.0,3,2019.0,6.333333333333333,6.0,3,3,1.0
99045,47,2015.0,47,2019.0,6.468085106382978,6.0,47,47,1.0
99503,14,2018.5,14,2020.5,4.857142857142857,4.5,14,8,0.5714285714285714
99806,43,2019.0,43,2021.0,4.046511627906977,4.0,43,21,0.4883720930232558
99898,9,2005.0,9,2021.0,3.3333333333333335,4.0,9,0,0.0
99952,1196,2010.0,1196,2024.0,2.24247491638796,1.0,1196,1196,1.0
100309,109,2016.0,109,2021.0,4.293577981651376,4.0,109,109,1.0
100369,8,2019.0,8,2020.0,5.375,5.0,8,0,0.0
100373,21,2017.0,21,2020.0,5.285714285714286,5.0,21,21,1.0
100412,13,2018.0,13,2020.0,5.769230769230769,5.0,13,0,0.0
100620,13,2008.0,13,2022.0,3.4615384615384617,3.0,13,0,0.0
100690,51,2017.0,51,2021.0,4.764705882352941,4.0,51,51,1.0
100724,25,2018.0,25,2023.0,2.0,2.0,25,25,1.0
100775,8,2014.0,8,2021.0,5.0,4.0,8,8,1.0
100808,10,2019.0,10,2020.0,5.7,5.0,10,10,1.0
100916,10,2014.5,10,2020.5,4.7,4.5,10,10,1.0
101556,8,2017.0,8,2020.0,4.875,5.0,8,8,1.0
102152,28,2018.0,28,2020.0,5.071428571428571,5.0,28,0,0.0
102430,29,2016.0,29,2019.0,6.862068965517241,6.0,29,29,1.0
102576,71,2019.0,71,2021.0,5.0,4.0,71,0,0.0
