NU_ANO,CO_CURSO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NO_IES,SG_IES,AREA,MODALIDADE,MUNICIPIO,UF,INSCRITOS,PARTICIPANTES,TOTAL_PADRAO_PROFICIENCIA,PCT_PADRAO_PROFICIENCIA,CONCEITO_ENADE,SITUACAO_CONCEITO,ROTULO_OFERTA,CONCEITO_ENADE_NUM,INSCRITOS_NUM,PARTICIPANTES_NUM,PCT_PADRAO_PROFICIENCIA_NUM,GRUPO_CODIGO,GRUPO
2025,26,1,1,10028,702,1,5103403,51,5,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,MATEMÁTICA ,Presencial,Cuiabá,MT,13,11,8,0.727,3,Conceito superior a 1,Cuiabá - Presencial,3,13,11,0.727,E,Restante do Brasil
2025,34,25352,1,10028,702,1,5107602,51,5,Universidade Federal de Rondonópolis,UFR,MATEMÁTICA ,Presencial,Rondonópolis,MT,7,6,1,0.167,1,Conceito 1,Rondonópolis - Presencial,1,7,6,0.167,E,Restante do Brasil
2025,161,2,1,10028,702,1,5300108,53,5,UNIVERSIDADE DE BRASÍLIA,UNB,MATEMÁTICA ,Presencial,Brasília,DF,30,19,13,0.684,3,Conceito superior a 1,Brasília - Presencial,3,30,19,0.684,E,Restante do Brasil
2025,297,3,1,10028,702,1,2806701,28,2,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,MATEMÁTICA ,Presencial,São Cristóvão,SE,75,62,44,0.71,3,Conceito superior a 1,São Cristóvão - Presencial,3,75,62,0.71,E,Restante do Brasil
2025,379,4,1,10028,702,1,1302603,13,1,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,MATEMÁTICA ,Presencial,Manaus,AM,68,42,20,0.476,2,Conceito superior a 1,Manaus - Presencial,2,68,42,0.476,D,Restante da Região Norte
2025,624,7,1,10028,702,1,3548906,35,3,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,MATEMÁTICA ,Presencial,São Carlos,SP,8,8,5,0.625,3,Conceito superior a 1,São Carlos - Presencial,3,8,8,0.625,E,Restante do Brasil
2025,637,7,1,10028,702,1,3548906,35,3,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,MATEMÁTICA ,Presencial,São Carlos,SP,17,16,12,0.75,4,Conceito superior a 1,São Carlos - Presencial,4,17,16,0.75,E,Restante do Brasil
2025,696,8,1,10028,702,1,3171303,31,3,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,MATEMÁTICA ,Presencial,Viçosa,MG,17,15,14,0.933,5,Conceito superior a 1,Viçosa - Presencial,5,17,15,0.933,E,Restante do Brasil
2025,768,9,2,10028,702,1,4113700,41,4,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,MATEMÁTICA ,Presencial,Londrina,PR,17,17,11,0.647,3,Conceito superior a 1,Londrina - Presencial,3,17,17,0.647,E,Restante do Brasil
2025,860,10,8,10028,702,1,4106902,41,4,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,MATEMÁTICA ,Presencial,Curitiba,PR,9,8,7,0.875,4,Conceito superior a 1,Curitiba - Presencial,4,9,8,0.875,E,Restante do Brasil
2025,965,11,8,10028,702,1,2611606,26,2,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,UNICAP,MATEMÁTICA ,Presencial,Recife,PE,42,39,17,0.436,2,Conceito superior a 1,Recife - Presencial,2,42,39,0.436,E,Restante do Brasil
2025,1035,12,1,10028,702,1,4315602,43,4,UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,MATEMÁTICA ,Presencial,Rio Grande,RS,16,14,11,0.786,4,Conceito superior a 1,Rio Grande - Presencial,4,16,14,0.786,E,Restante do Brasil
2025,1112,13,8,10028,702,1,4305108,43,4,UNIVERSIDADE DE CAXIAS DO SUL,UCS,MATEMÁTICA ,Presencial,Caxias do Sul,RS,4,3,3,1,5,Conceito superior a 1,Caxias do Sul - Presencial,5,4,3,1.0,E,Restante do Brasil
2025,1428,17,1,10028,702,1,3170206,31,3,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,MATEMÁTICA ,Presencial,Uberlândia,MG,9,7,5,0.714,3,Conceito superior a 1,Uberlândia - Presencial,3,9,7,0.714,E,Restante do Brasil
2025,1637,19,8,10028,702,1,3509502,35,3,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUC-CAMPINAS,MATEMÁTICA ,Presencial,Campinas,SP,7,7,4,0.571,2,Conceito superior a 1,Campinas - Presencial,2,7,7,0.571,E,Restante do Brasil
2025,1717,20,8,10028,702,1,4314100,43,4,UNIVERSIDADE DE PASSO FUNDO,UPF,MATEMÁTICA ,Presencial,Passo Fundo,RS,8,7,4,0.571,2,Conceito superior a 1,Passo Fundo - Presencial,2,8,7,0.571,E,Restante do Brasil
2025,1907,21,8,10028,702,1,4314902,43,4,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUCRS,MATEMÁTICA ,Presencial,Porto Alegre,RS,1,,,,SC,Sem conceito,Porto Alegre - Presencial,,1,,,E,Restante do Brasil
2025,2711,54,2,10028,702,1,3509502,35,3,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,MATEMÁTICA ,Presencial,Campinas,SP,41,26,24,0.923,5,Conceito superior a 1,Campinas - Presencial,5,41,26,0.923,E,Restante do Brasil
2025,2921,55,2,10028,702,1,3550308,35,3,UNIVERSIDADE DE SÃO PAULO,USP,MATEMÁTICA ,Presencial,São Paulo,SP,83,74,67,0.905,5,Conceito superior a 1,São Paulo - Presencial,5,83,74,0.905,E,Restante do Brasil
2025,3145,56,2,10028,702,1,3543907,35,3,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,MATEMÁTICA ,Presencial,Rio Claro,SP,19,18,13,0.722,3,Conceito superior a 1,Rio Claro - Presencial,3,19,18,0.722,E,Restante do Brasil
2025,3163,56,2,10028,702,1,3541406,35,3,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,MATEMÁTICA ,Presencial,Presidente Prudente,SP,20,17,12,0.706,3,Conceito superior a 1,Presidente Prudente - Presencial,3,20,17,0.706,E,Restante do Brasil
2025,3179,56,2,10028,702,1,3549805,35,3,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,MATEMÁTICA ,Presencial,São José do Rio Preto,SP,34,31,24,0.774,4,Conceito superior a 1,São José do Rio Preto - Presencial,4,34,31,0.774,E,Restante do Brasil
2025,3217,56,2,10028,702,1,3506003,35,3,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,MATEMÁTICA ,Presencial,Bauru,SP,34,31,14,0.452,2,Conceito superior a 1,Bauru - Presencial,2,34,31,0.452,E,Restante do Brasil
2025,3407,57,2,10028,702,1,4115200,41,4,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,MATEMÁTICA ,Presencial,Maringá,PR,20,16,9,0.563,2,Conceito superior a 1,Maringá - Presencial,2,20,16,0.563,E,Restante do Brasil
2025,3571,71,2,10028,702,1,2408003,24,2,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,UERN,MATEMÁTICA ,Presencial,Mossoró,RN,30,25,10,0.4,2,Conceito superior a 1,Mossoró - Presencial,2,30,25,0.4,E,Restante do Brasil
2025,5965,227,8,10028,702,1,3548500,35,3,UNIVERSIDADE CATÓLICA DE SANTOS,UNISANTOS,MATEMÁTICA ,Presencial,Santos,SP,15,15,10,0.667,3,Conceito superior a 1,Santos - Presencial,3,15,15,0.667,E,Restante do Brasil
2025,6754,295,8,10028,702,1,4316808,43,4,UNIVERSIDADE DE SANTA CRUZ DO SUL,UNISC,MATEMÁTICA ,Presencial,Santa Cruz do Sul,RS,3,3,3,1,5,Conceito superior a 1,Santa Cruz do Sul - Presencial,5,3,3,1.0,E,Restante do Brasil
2025,7081,1036,2,10028,702,1,3113305,31,3,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,UEMG,MATEMÁTICA ,Presencial,Carangola,MG,12,10,1,0.1,1,Conceito 1,Carangola - Presencial,1,12,10,0.1,E,Restante do Brasil
2025,8908,426,8,10028,702,1,4316907,43,4,UNIVERSIDADE FRANCISCANA,UFN,MATEMÁTICA ,Presencial,Santa Maria,RS,2,2,1,0.5,2,Conceito superior a 1,Santa Maria - Presencial,2,2,2,0.5,E,Restante do Brasil
2025,9954,1189,5,10028,702,1,4209300,42,4,UNIVERSIDADE DO PLANALTO CATARINENSE,UNIPLAC,MATEMÁTICA ,Presencial,Lages,SC,12,12,4,0.333,1,Conceito 1,Lages - Presencial,1,12,12,0.333,E,Restante do Brasil
2025,10508,519,8,10028,702,1,2927408,29,2,UNIVERSIDADE CATÓLICA DO SALVADOR,UCSAL,MATEMÁTICA ,Presencial,Salvador,BA,11,2,1,0.5,2,Conceito superior a 1,Salvador - Presencial,2,11,2,0.5,E,Restante do Brasil
2025,10811,527,8,10028,702,1,5208707,52,5,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE GOIÁS,PUC GOIÁS,MATEMÁTICA ,Presencial,Goiânia,GO,5,5,2,0.4,2,Conceito superior a 1,Goiânia - Presencial,2,5,5,0.4,E,Restante do Brasil
2025,11163,1126,2,10028,702,1,4109401,41,4,UNIVERSIDADE ESTADUAL DO CENTRO OESTE,UNICENTRO,MATEMÁTICA ,Presencial,Guarapuava,PR,7,6,3,0.5,2,Conceito superior a 1,Guarapuava - Presencial,2,7,6,0.5,E,Restante do Brasil
2025,11305,547,2,10028,702,1,3304557,33,3,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,MATEMÁTICA ,Presencial,Rio de Janeiro,RJ,27,18,10,0.556,2,Conceito superior a 1,Rio de Janeiro - Presencial,2,27,18,0.556,E,Restante do Brasil
2025,11328,547,2,10028,702,1,3304904,33,3,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,MATEMÁTICA ,Presencial,São Gonçalo,RJ,14,13,6,0.462,2,Conceito superior a 1,São Gonçalo - Presencial,2,14,13,0.462,E,Restante do Brasil
2025,11439,548,1,10028,702,1,2111300,21,2,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,MATEMÁTICA ,Presencial,São Luís,MA,30,18,8,0.444,2,Conceito superior a 1,São Luís - Presencial,2,30,18,0.444,E,Restante do Brasil
