CO_CURSO,RESPOSTA,n,VARIAVEL
26,5,1,QE_I68
26,6,2,QE_I68
26,7,3,QE_I68
26,8,3,QE_I68
26,9,3,QE_I68
26,10,1,QE_I68
34,5,1,QE_I68
34,6,1,QE_I68
34,7,1,QE_I68
34,8,1,QE_I68
34,10,2,QE_I68
34,,1,QE_I68
161,1,3,QE_I68
161,2,1,QE_I68
161,3,1,QE_I68
161,5,2,QE_I68
161,6,2,QE_I68
161,7,1,QE_I68
161,8,1,QE_I68
161,9,4,QE_I68
161,10,6,QE_I68
161,,9,QE_I68
297,1,1,QE_I68
297,3,2,QE_I68
297,4,2,QE_I68
297,5,2,QE_I68
297,6,2,QE_I68
297,7,11,QE_I68
297,8,17,QE_I68
297,9,14,QE_I68
297,10,17,QE_I68
297,,7,QE_I68
379,4,3,QE_I68
379,5,2,QE_I68
379,6,3,QE_I68
379,7,4,QE_I68
379,8,6,QE_I68
379,9,9,QE_I68
379,10,19,QE_I68
379,,22,QE_I68
624,0,1,QE_I68
624,6,1,QE_I68
624,7,2,QE_I68
624,8,3,QE_I68
624,9,1,QE_I68
637,0,1,QE_I68
637,3,1,QE_I68
637,5,1,QE_I68
637,6,1,QE_I68
637,7,6,QE_I68
637,8,3,QE_I68
637,10,3,QE_I68
637,,1,QE_I68
696,2,2,QE_I68
696,3,1,QE_I68
696,6,1,QE_I68
696,7,1,QE_I68
696,8,3,QE_I68
696,9,2,QE_I68
696,10,6,QE_I68
696,,1,QE_I68
768,6,1,QE_I68
768,7,5,QE_I68
768,8,4,QE_I68
768,9,1,QE_I68
768,10,6,QE_I68
860,2,1,QE_I68
860,3,1,QE_I68
860,7,1,QE_I68
860,8,1,QE_I68
860,9,1,QE_I68
860,10,4,QE_I68
965,4,1,QE_I68
965,5,3,QE_I68
965,6,2,QE_I68
965,7,3,QE_I68
965,8,5,QE_I68
965,9,3,QE_I68
965,10,24,QE_I68
965,,1,QE_I68
1035,4,1,QE_I68
1035,7,2,QE_I68
1035,8,3,QE_I68
1035,9,2,QE_I68
1035,10,8,QE_I68
1112,7,1,QE_I68
1112,8,1,QE_I68
1112,9,1,QE_I68
1112,,1,QE_I68
1428,3,1,QE_I68
1428,5,1,QE_I68
1428,7,1,QE_I68
1428,8,2,QE_I68
1428,9,1,QE_I68
1428,10,2,QE_I68
1428,,1,QE_I68
1637,5,1,QE_I68
1637,8,2,QE_I68
1637,9,2,QE_I68
1637,10,2,QE_I68
1717,5,1,QE_I68
1717,7,1,QE_I68
1717,9,2,QE_I68
1717,10,3,QE_I68
1717,,1,QE_I68
1907,,1,QE_I68
2711,4,2,QE_I68
2711,6,2,QE_I68
2711,7,1,QE_I68
2711,8,13,QE_I68
2711,9,7,QE_I68
2711,10,10,QE_I68
2711,,6,QE_I68
2921,0,1,QE_I68
2921,2,1,QE_I68
2921,3,3,QE_I68
2921,4,3,QE_I68
2921,5,3,QE_I68
2921,6,7,QE_I68
2921,7,14,QE_I68
2921,8,23,QE_I68
2921,9,6,QE_I68
2921,10,16,QE_I68
2921,,6,QE_I68
3145,2,1,QE_I68
3145,5,1,QE_I68
3145,6,1,QE_I68
3145,7,1,QE_I68
3145,8,3,QE_I68
3145,9,1,QE_I68
3145,10,10,QE_I68
3145,,1,QE_I68
3163,0,2,QE_I68
3163,2,1,QE_I68
3163,3,1,QE_I68
3163,5,3,QE_I68
3163,7,2,QE_I68
3163,8,4,QE_I68
3163,9,1,QE_I68
3163,10,5,QE_I68
3163,,1,QE_I68
3179,3,1,QE_I68
3179,4,1,QE_I68
3179,5,2,QE_I68
3179,6,1,QE_I68
3179,7,4,QE_I68
3179,8,8,QE_I68
3179,9,3,QE_I68
3179,10,12,QE_I68
3179,,2,QE_I68
3217,1,1,QE_I68
3217,2,2,QE_I68
3217,3,1,QE_I68
3217,6,3,QE_I68
3217,7,5,QE_I68
3217,8,7,QE_I68
3217,9,6,QE_I68
3217,10,8,QE_I68
3217,,1,QE_I68
3407,0,2,QE_I68
3407,6,2,QE_I68
3407,7,1,QE_I68
3407,8,2,QE_I68
3407,9,1,QE_I68
3407,10,8,QE_I68
3407,,4,QE_I68
3571,0,1,QE_I68
3571,2,3,QE_I68
3571,5,2,QE_I68
3571,6,2,QE_I68
3571,7,2,QE_I68
3571,8,3,QE_I68
3571,9,3,QE_I68
3571,10,11,QE_I68
3571,,3,QE_I68
5965,6,1,QE_I68
5965,7,4,QE_I68
5965,8,1,QE_I68
5965,9,4,QE_I68
5965,10,5,QE_I68
6754,7,1,QE_I68
6754,8,1,QE_I68
6754,10,1,QE_I68
7081,7,1,QE_I68
7081,8,2,QE_I68
7081,10,7,QE_I68
7081,,2,QE_I68
8908,7,1,QE_I68
8908,10,1,QE_I68
9954,8,1,QE_I68
9954,9,2,QE_I68
9954,10,9,QE_I68
10508,7,1,QE_I68
