CO_CURSO,TP_SEXO,n
26,F,10
26,M,3
34,F,3
34,M,4
161,F,7
161,M,23
297,F,28
297,M,47
379,F,24
379,M,44
624,F,4
624,M,4
637,F,10
637,M,7
696,F,9
696,M,8
768,F,7
768,M,10
860,F,2
860,M,7
965,F,15
965,M,27
1035,F,4
1035,M,12
1112,F,2
1112,M,2
1428,F,5
1428,M,4
1637,F,5
1637,M,2
1717,F,4
1717,M,4
1907,M,1
2711,F,7
2711,M,34
2921,F,32
2921,M,51
3145,F,6
3145,M,13
3163,F,13
3163,M,7
3179,F,18
3179,M,16
3217,F,14
3217,M,20
3407,F,14
3407,M,6
3571,F,9
3571,M,21
5965,F,5
5965,M,10
6754,F,2
6754,M,1
7081,F,4
7081,M,8
8908,M,2
9954,F,5
9954,M,7
10508,F,4
10508,M,7
10811,F,3
10811,M,2
11163,F,2
11163,M,5
11305,F,11
11305,M,16
11328,F,5
11328,M,9
11439,F,7
11439,M,23
11540,F,5
11540,M,12
11591,F,26
11591,M,26
11999,F,20
11999,M,48
12033,F,16
12033,M,33
12035,F,30
12035,M,38
12037,F,16
12037,M,15
12044,F,14
12044,M,31
12074,F,31
12074,M,55
12354,F,6
12354,M,14
12553,F,13
12553,M,17
12702,F,23
12702,M,43
12713,F,13
12713,M,11
12806,F,8
12806,M,9
12918,F,9
12918,M,21
12969,F,20
12969,M,44
13102,F,11
13102,M,3
13276,F,14
13276,M,18
13402,F,24
13402,M,42
13448,F,9
13448,M,8
13619,F,7
13619,M,20
13741,F,9
13741,M,24
13873,F,5
13873,M,8
14121,F,4
14121,M,9
14233,F,12
14233,M,22
14328,F,23
14328,M,71
14505,F,19
14505,M,34
14542,F,7
14542,M,4
14700,F,8
14700,M,9
15000,F,3
15000,M,5
15413,F,27
15413,M,21
15629,F,1
15629,M,6
15833,F,5
15833,M,10
15862,F,5
15862,M,5
15865,F,3
15865,M,3
15868,F,3
15868,M,11
16009,F,18
16009,M,21
16010,F,7
16010,M,3
16268,F,19
16268,M,13
16272,F,3
16272,M,6
16403,F,4
16403,M,9
17154,F,9
17154,M,10
17196,F,13
17196,M,26
18354,M,1
18382,F,6
18382,M,3
18877,F,6
18877,M,3
18892,F,8
18892,M,8
18954,F,2
18954,M,4
18959,F,4
18959,M,2
18961,F,9
18961,M,13
19026,M,1
19060,F,17
19060,M,32
19077,F,9
19077,M,12
19191,M,4
19367,F,1
19367,M,1
19396,F,6
19396,M,3
20315,F,8
20315,M,3
20392,F,16
20392,M,27
20578,F,5
20578,M,5
20854,F,11
20854,M,7
21427,F,3
21427,M,8
21443,F,14
21443,M,29
21578,F,1
21578,M,5
21808,F,3
21808,M,2
21822,F,7
21822,M,2
21869,F,5
21869,M,5
21876,F,4
21876,M,6
21879,F,9
21879,M,5
21892,F,1
27518,F,2
27518,M,11
29447,F,9
29447,M,7
38246,F,9
38246,M,14
38431,F,1
38431,M,7
38678,F,7
38678,M,8
39715,F,3
39715,M,1
41069,F,4
41069,M,2
41490,F,4
41490,M,12
43037,F,13
43037,M,13
43084,F,4
43084,M,5
44372,F,11
44372,M,21
45102,F,5
45102,M,2
45701,F,2
45701,M,5
45703,F,5
45703,M,2
46729,F,8
46729,M,5
47333,F,5
47333,M,1
48289,F,10
48289,M,24
48946,F,9
48946,M,2
49324,9,1
49324,F,31
49324,M,51
50439,F,3
52068,F,1
52068,M,1
52139,F,3
52139,M,3
52442,F,25
52442,M,15
55811,F,11
55811,M,7
58522,F,8
58522,M,5
58526,F,4
58526,M,5
58588,F,7
58588,M,12
59272,F,9
59272,M,18
59426,F,27
59426,M,42
59996,F,26
59996,M,28
60290,F,3
60290,M,4
60760,F,15
60760,M,16
61024,F,5
61024,M,10
61669,F,6
61669,M,12
63062,F,12
63062,M,20
63383,F,7
63383,M,25
64604,F,7
64604,M,4
68313,F,1
68313,M,5
68511,F,15
68511,M,22
70522,F,5
70522,M,16
71037,M,9
71419,F,6
71419,M,9
74276,F,6
76212,F,1
76212,M,1
80827,F,3
80827,M,2
81423,F,10
81423,M,13
81660,F,6
81660,M,3
81812,F,8
81812,M,11
82658,F,14
82658,M,25
83289,F,5
83289,M,12
83302,F,15
83302,M,20
83312,F,14
83312,M,5
83318,F,9
83318,M,13
83330,F,8
83330,M,6
83929,F,7
83929,M,15
84374,F,7
84374,M,3
85320,F,5
85320,M,17
85760,F,8
85760,M,11
86396,F,13
86396,M,21
88788,F,20
88788,M,14
92391,F,8
92391,M,4
94692,F,2
94692,M,3
95055,F,9
95055,M,8
95221,F,1
95221,M,6
96158,F,22
96158,M,22
96913,F,5
96913,M,12
96955,F,1
96955,M,2
99045,F,17
99045,M,30
99503,F,10
99503,M,4
99806,F,18
99806,M,25
99898,F,1
99898,M,8
99952,F,508
99952,M,688
100309,F,43
100309,M,66
100369,F,2
100369,M,6
100373,F,7
100373,M,14
100412,F,7
100412,M,6
100620,F,6
100620,M,7
100690,F,28
100690,M,23
100724,F,10
100724,M,15
100775,F,6
100775,M,2
100808,F,7
100808,M,3
100916,F,5
100916,M,5
101556,F,4
101556,M,4
102152,F,15
102152,M,13
102430,F,11
102430,M,18
102576,F,29
102576,M,42
102588,F,11
102588,M,8
102944,F,3
102944,M,4
103381,F,11
103381,M,20
103572,F,10
103572,M,10
104282,F,3
104282,M,3
104814,F,12
104814,M,9
106404,F,12
