CO_CURSO,VARIAVEL,RESPOSTA,n,pct_total
26,QE_I01,A,12,0.9230769230769231
26,QE_I01,B,1,0.07692307692307693
34,QE_I01,A,6,0.8571428571428571
34,QE_I01,,1,0.14285714285714285
161,QE_I01,A,16,0.5333333333333333
161,QE_I01,B,4,0.13333333333333333
161,QE_I01,C,1,0.03333333333333333
161,QE_I01,,9,0.3
297,QE_I01,A,61,0.8133333333333334
297,QE_I01,B,6,0.08
297,QE_I01,C,1,0.013333333333333334
297,QE_I01,,7,0.09333333333333334
379,QE_I01,A,34,0.5
379,QE_I01,B,11,0.16176470588235295
379,QE_I01,C,1,0.014705882352941176
379,QE_I01,,22,0.3235294117647059
624,QE_I01,A,8,1.0
637,QE_I01,A,15,0.8823529411764706
637,QE_I01,B,1,0.058823529411764705
637,QE_I01,,1,0.058823529411764705
696,QE_I01,A,14,0.8235294117647058
696,QE_I01,B,1,0.058823529411764705
696,QE_I01,C,1,0.058823529411764705
696,QE_I01,,1,0.058823529411764705
768,QE_I01,A,16,0.9411764705882353
768,QE_I01,B,1,0.058823529411764705
860,QE_I01,A,7,0.7777777777777778
860,QE_I01,B,2,0.2222222222222222
965,QE_I01,A,31,0.7380952380952381
965,QE_I01,B,9,0.21428571428571427
965,QE_I01,C,1,0.023809523809523808
965,QE_I01,,1,0.023809523809523808
1035,QE_I01,A,10,0.625
1035,QE_I01,B,5,0.3125
1035,QE_I01,C,1,0.0625
1112,QE_I01,A,3,0.75
1112,QE_I01,,1,0.25
1428,QE_I01,A,8,0.8888888888888888
1428,QE_I01,,1,0.1111111111111111
1637,QE_I01,A,6,0.8571428571428571
1637,QE_I01,C,1,0.14285714285714285
1717,QE_I01,A,6,0.75
1717,QE_I01,B,1,0.125
1717,QE_I01,,1,0.125
1907,QE_I01,,1,1.0
2711,QE_I01,A,30,0.7317073170731707
2711,QE_I01,B,4,0.0975609756097561
2711,QE_I01,D,1,0.024390243902439025
2711,QE_I01,,6,0.14634146341463414
2921,QE_I01,A,70,0.8433734939759037
2921,QE_I01,B,6,0.07228915662650602
2921,QE_I01,E,1,0.012048192771084338
2921,QE_I01,,6,0.07228915662650602
3145,QE_I01,A,18,0.9473684210526315
3145,QE_I01,,1,0.05263157894736842
3163,QE_I01,A,18,0.9
3163,QE_I01,B,1,0.05
3163,QE_I01,,1,0.05
3179,QE_I01,A,30,0.8823529411764706
3179,QE_I01,B,2,0.058823529411764705
3179,QE_I01,,2,0.058823529411764705
3217,QE_I01,A,30,0.8823529411764706
3217,QE_I01,B,2,0.058823529411764705
3217,QE_I01,C,1,0.029411764705882353
3217,QE_I01,,1,0.029411764705882353
3407,QE_I01,A,12,0.6
3407,QE_I01,B,4,0.2
3407,QE_I01,,4,0.2
3571,QE_I01,A,18,0.6
3571,QE_I01,B,9,0.3
3571,QE_I01,,3,0.1
5965,QE_I01,A,15,1.0
6754,QE_I01,A,3,1.0
7081,QE_I01,A,10,0.8333333333333334
7081,QE_I01,C,1,0.08333333333333333
7081,QE_I01,,1,0.08333333333333333
8908,QE_I01,A,1,0.5
8908,QE_I01,C,1,0.5
9954,QE_I01,A,4,0.3333333333333333
9954,QE_I01,B,5,0.4166666666666667
9954,QE_I01,C,1,0.08333333333333333
9954,QE_I01,D,1,0.08333333333333333
9954,QE_I01,E,1,0.08333333333333333
10508,QE_I01,A,4,0.36363636363636365
10508,QE_I01,B,1,0.09090909090909091
10508,QE_I01,,6,0.5454545454545454
10811,QE_I01,A,2,0.4
10811,QE_I01,B,1,0.2
10811,QE_I01,C,2,0.4
11163,QE_I01,A,5,0.7142857142857143
11163,QE_I01,B,1,0.14285714285714285
11163,QE_I01,,1,0.14285714285714285
11305,QE_I01,A,18,0.6666666666666666
11305,QE_I01,B,2,0.07407407407407407
11305,QE_I01,,7,0.25925925925925924
11328,QE_I01,A,12,0.8571428571428571
11328,QE_I01,B,1,0.07142857142857142
11328,QE_I01,,1,0.07142857142857142
11439,QE_I01,A,18,0.6
11439,QE_I01,B,2,0.06666666666666667
11439,QE_I01,E,1,0.03333333333333333
11439,QE_I01,,9,0.3
11540,QE_I01,A,14,0.8235294117647058
11540,QE_I01,B,2,0.11764705882352941
11540,QE_I01,D,1,0.058823529411764705
11591,QE_I01,A,20,0.38461538461538464
11591,QE_I01,B,11,0.21153846153846154
11591,QE_I01,C,1,0.019230769230769232
11591,QE_I01,,20,0.38461538461538464
11999,QE_I01,A,53,0.7794117647058824
11999,QE_I01,B,9,0.1323529411764706
11999,QE_I01,,6,0.08823529411764706
12033,QE_I01,A,26,0.5306122448979592
12033,QE_I01,B,8,0.16326530612244897
12033,QE_I01,C,1,0.02040816326530612
12033,QE_I01,E,1,0.02040816326530612
12033,QE_I01,,13,0.2653061224489796
12035,QE_I01,A,47,0.6911764705882353
12035,QE_I01,B,8,0.11764705882352941
12035,QE_I01,,13,0.19117647058823528
12037,QE_I01,A,22,0.7096774193548387
12037,QE_I01,B,8,0.25806451612903225
12037,QE_I01,C,1,0.03225806451612903
12044,QE_I01,A,33,0.7333333333333333
12044,QE_I01,B,3,0.06666666666666667
12044,QE_I01,,9,0.2
12074,QE_I01,A,72,0.8372093023255814
12074,QE_I01,B,4,0.046511627906976744
12074,QE_I01,E,3,0.03488372093023256
12074,QE_I01,,7,0.08139534883720931
12354,QE_I01,A,18,0.9
12354,QE_I01,B,1,0.05
12354,QE_I01,,1,0.05
12553,QE_I01,A,18,0.6
12553,QE_I01,B,3,0.1
12553,QE_I01,,9,0.3
12702,QE_I01,A,54,0.8181818181818182
12702,QE_I01,B,7,0.10606060606060606
12702,QE_I01,,5,0.07575757575757576
12713,QE_I01,A,20,0.8333333333333334
12713,QE_I01,B,4,0.16666666666666666
12806,QE_I01,A,13,0.7647058823529411
12806,QE_I01,B,2,0.11764705882352941
12806,QE_I01,C,1,0.058823529411764705
12806,QE_I01,E,1,0.058823529411764705
12918,QE_I01,A,28,0.9333333333333333
12918,QE_I01,B,1,0.03333333333333333
12918,QE_I01,C,1,0.03333333333333333
12969,QE_I01,A,53,0.828125
12969,QE_I01,B,4,0.0625
12969,QE_I01,,7,0.109375
13102,QE_I01,A,12,0.8571428571428571
13102,QE_I01,B,1,0.07142857142857142
13102,QE_I01,,1,0.07142857142857142
13276,QE_I01,A,25,0.78125
13276,QE_I01,B,5,0.15625
13276,QE_I01,,2,0.0625
13402,QE_I01,A,48,0.7272727272727273
13402,QE_I01,B,7,0.10606060606060606
13402,QE_I01,,11,0.16666666666666666
13448,QE_I01,A,14,0.8235294117647058
13448,QE_I01,B,3,0.17647058823529413
13619,QE_I01,A,13,0.48148148148148145
13619,QE_I01,B,8,0.2962962962962963
13619,QE_I01,,6,0.2222222222222222
13741,QE_I01,A,29,0.8787878787878788
13741,QE_I01,,4,0.12121212121212122
13873,QE_I01,A,13,1.0
14121,QE_I01,A,11,0.8461538461538461
14121,QE_I01,B,1,0.07692307692307693
14121,QE_I01,,1,0.07692307692307693
14233,QE_I01,A,26,0.7647058823529411
14233,QE_I01,B,1,0.029411764705882353
14233,QE_I01,C,1,0.029411764705882353
14233,QE_I01,E,2,0.058823529411764705
14233,QE_I01,,4,0.11764705882352941
14328,QE_I01,A,70,0.7446808510638298
14328,QE_I01,B,11,0.11702127659574468
14328,QE_I01,C,2,0.02127659574468085
14328,QE_I01,E,1,0.010638297872340425
14328,QE_I01,,10,0.10638297872340426
14505,QE_I01,A,33,0.6226415094339622
14505,QE_I01,B,4,0.07547169811320754
14505,QE_I01,C,1,0.018867924528301886
14505,QE_I01,,15,0.2830188679245283
14542,QE_I01,A,10,0.9090909090909091
14542,QE_I01,B,1,0.09090909090909091
14700,QE_I01,A,11,0.6470588235294118
14700,QE_I01,B,4,0.23529411764705882
14700,QE_I01,,2,0.11764705882352941
15000,QE_I01,A,7,0.875
15000,QE_I01,E,1,0.125
15413,QE_I01,A,38,0.7916666666666666
15413,QE_I01,B,1,0.020833333333333332
15413,QE_I01,E,2,0.041666666666666664
15413,QE_I01,,7,0.14583333333333334
15629,QE_I01,A,7,1.0
15833,QE_I01,A,11,0.7333333333333333
15833,QE_I01,B,3,0.2
15833,QE_I01,C,1,0.06666666666666667
15862,QE_I01,A,4,0.4
15862,QE_I01,B,3,0.3
15862,QE_I01,C,1,0.1
15862,QE_I01,,2,0.2
15865,QE_I01,A,3,0.5
15865,QE_I01,B,2,0.3333333333333333
15865,QE_I01,,1,0.16666666666666666
15868,QE_I01,A,10,0.7142857142857143
15868,QE_I01,B,2,0.14285714285714285
15868,QE_I01,E,1,0.07142857142857142
15868,QE_I01,,1,0.07142857142857142
16009,QE_I01,A,20,0.5128205128205128
16009,QE_I01,B,8,0.20512820512820512
16009,QE_I01,C,1,0.02564102564102564
16009,QE_I01,,10,0.2564102564102564
16010,QE_I01,A,1,0.1
16010,QE_I01,B,8,0.8
16010,QE_I01,,1,0.1
16268,QE_I01,A,18,0.5625
16268,QE_I01,B,4,0.125
16268,QE_I01,C,1,0.03125
16268,QE_I01,E,1,0.03125
16268,QE_I01,,8,0.25
16272,QE_I01,A,6,0.6666666666666666
16272,QE_I01,B,2,0.2222222222222222
16272,QE_I01,C,1,0.1111111111111111
16403,QE_I01,A,11,0.8461538461538461
16403,QE_I01,B,1,0.07692307692307693
16403,QE_I01,,1,0.07692307692307693
17154,QE_I01,A,7,0.3684210526315789
17154,QE_I01,B,1,0.05263157894736842
17154,QE_I01,C,1,0.05263157894736842
17154,QE_I01,,10,0.5263157894736842
17196,QE_I01,A,22,0.5641025641025641
17196,QE_I01,B,3,0.07692307692307693
17196,QE_I01,C,1,0.02564102564102564
17196,QE_I01,E,1,0.02564102564102564
17196,QE_I01,,12,0.3076923076923077
18354,QE_I01,,1,1.0
18382,QE_I01,A,9,1.0
18877,QE_I01,A,9,1.0
18892,QE_I01,A,11,0.6875
18892,QE_I01,B,4,0.25
18892,QE_I01,,1,0.0625
18954,QE_I01,A,5,0.8333333333333334
