CO_CURSO,ITEM,n_total,n_valido,media,mediana,dp,concordancia_n,nao_sabe_n,nao_aplica_n,concordancia_pct,ausencia_analitica_pct
26,QE_I20,13,13,5.0,5.0,1.1547005383792515,11,0,0,0.8461538461538461,0.0
34,QE_I20,7,6,4.666666666666667,5.0,1.505545305418162,5,0,0,0.8333333333333334,0.1428571428571429
161,QE_I20,30,21,5.476190476190476,6.0,0.9807674351775563,19,0,0,0.9047619047619048,0.30000000000000004
297,QE_I20,75,66,4.7272727272727275,5.0,1.2221727757180219,54,2,0,0.8181818181818182,0.12
379,QE_I20,68,46,5.173913043478261,6.0,1.2876222328356846,42,0,0,0.9130434782608695,0.32352941176470584
624,QE_I20,8,8,5.625,6.0,0.7440238091428449,8,0,0,1.0,0.0
637,QE_I20,17,15,5.0,6.0,1.2535663410560176,12,1,0,0.8,0.11764705882352944
696,QE_I20,17,16,5.4375,6.0,1.0935416468216166,15,0,0,0.9375,0.05882352941176472
768,QE_I20,17,16,5.6875,6.0,0.7041543391425871,16,1,0,1.0,0.05882352941176472
860,QE_I20,9,9,5.666666666666667,6.0,0.7071067811865476,9,0,0,1.0,0.0
965,QE_I20,42,41,5.195121951219512,6.0,1.3080426635840658,37,0,0,0.9024390243902439,0.023809523809523836
1035,QE_I20,16,16,5.6875,6.0,0.4787135538781692,16,0,0,1.0,0.0
1112,QE_I20,4,3,6.0,6.0,0.0,3,0,0,1.0,0.25
1428,QE_I20,9,8,5.75,6.0,0.4629100498862757,8,0,0,1.0,0.11111111111111116
1637,QE_I20,7,6,5.0,5.5,1.549193338482967,5,1,0,0.8333333333333334,0.1428571428571429
1717,QE_I20,8,7,5.857142857142857,6.0,0.37796447300922714,7,0,0,1.0,0.125
1907,QE_I20,1,0,,,,0,0,0,nan,1.0
2711,QE_I20,41,35,5.142857142857143,6.0,1.1917080461366742,31,0,0,0.8857142857142857,0.14634146341463417
2921,QE_I20,83,75,5.04,6.0,1.235073036466024,62,2,0,0.8266666666666667,0.09638554216867468
3145,QE_I20,19,18,5.666666666666667,6.0,0.6859943405700354,18,0,0,1.0,0.052631578947368474
3163,QE_I20,20,19,5.684210526315789,6.0,0.9459053029269172,18,0,0,0.9473684210526315,0.050000000000000044
3179,QE_I20,34,32,5.5,6.0,0.842423539174232,31,0,0,0.96875,0.05882352941176472
3217,QE_I20,34,33,5.121212121212121,6.0,1.0827504259285632,29,0,0,0.8787878787878788,0.02941176470588236
3407,QE_I20,20,16,5.1875,6.0,1.5152007567755943,14,0,0,0.875,0.19999999999999996
3571,QE_I20,30,25,4.16,5.0,1.9510680835549197,17,2,0,0.68,0.16666666666666663
5965,QE_I20,15,13,5.230769230769231,6.0,1.0919284281983377,11,2,0,0.8461538461538461,0.1333333333333333
6754,QE_I20,3,3,6.0,6.0,0.0,3,0,0,1.0,0.0
7081,QE_I20,12,11,5.181818181818182,6.0,1.0787197799411872,10,0,0,0.9090909090909091,0.08333333333333337
8908,QE_I20,2,2,6.0,6.0,0.0,2,0,0,1.0,0.0
9954,QE_I20,12,12,5.666666666666667,6.0,0.6513389472789296,12,0,0,1.0,0.0
10508,QE_I20,11,3,3.0,3.0,1.0,1,1,1,0.3333333333333333,0.7272727272727273
10811,QE_I20,5,5,5.6,6.0,0.894427190999916,5,0,0,1.0,0.0
11163,QE_I20,7,5,5.8,6.0,0.44721359549995787,5,1,0,1.0,0.2857142857142857
11305,QE_I20,27,18,4.777777777777778,5.5,1.3956046783744507,14,2,0,0.7777777777777778,0.33333333333333337
11328,QE_I20,14,12,4.916666666666667,5.0,1.1645001528813148,10,1,0,0.8333333333333334,0.1428571428571429
11439,QE_I20,30,18,4.555555555555555,4.5,1.381483525788905,15,3,0,0.8333333333333334,0.4
11540,QE_I20,17,17,6.0,6.0,0.0,17,0,0,1.0,0.0
11591,QE_I20,52,29,3.7586206896551726,4.0,1.6830069266853707,15,3,0,0.5172413793103449,0.4423076923076923
11999,QE_I20,68,60,4.183333333333334,4.0,1.443767043825339,39,2,0,0.65,0.11764705882352944
12033,QE_I20,49,35,2.7714285714285714,3.0,1.5355725945969831,8,1,0,0.22857142857142856,0.2857142857142857
12035,QE_I20,68,54,4.592592592592593,5.0,1.5482006417496106,40,1,0,0.7407407407407407,0.20588235294117652
12037,QE_I20,31,28,5.321428571428571,6.0,1.1239339452243238,25,3,0,0.8928571428571429,0.09677419354838712
12044,QE_I20,45,33,5.0606060606060606,6.0,1.3448836831533504,29,2,1,0.8787878787878788,0.2666666666666667
12074,QE_I20,86,73,4.8493150684931505,5.0,1.3608742377676886,58,6,0,0.7945205479452054,0.15116279069767447
12354,QE_I20,20,19,4.526315789473684,4.0,1.1722922015640784,16,0,0,0.8421052631578947,0.050000000000000044
12553,QE_I20,30,21,5.619047619047619,6.0,0.8047478161629563,20,0,0,0.9523809523809523,0.30000000000000004
12702,QE_I20,66,59,5.084745762711864,5.0,1.1932010784269864,51,1,1,0.864406779661017,0.10606060606060608
12713,QE_I20,24,24,5.541666666666667,6.0,0.8329709356935241,23,0,0,0.9583333333333334,0.0
12806,QE_I20,17,17,5.176470588235294,6.0,1.0145993123917847,16,0,0,0.9411764705882353,0.0
12918,QE_I20,30,29,5.344827586206897,6.0,1.142549219601424,25,1,0,0.8620689655172413,0.033333333333333326
12969,QE_I20,64,53,5.2075471698113205,6.0,1.0805712621293948,48,4,0,0.9056603773584906,0.171875
13102,QE_I20,14,13,5.230769230769231,6.0,1.1657505560686467,11,0,0,0.8461538461538461,0.0714285714285714
13276,QE_I20,32,28,5.071428571428571,5.5,1.1524071884721687,23,1,1,0.8214285714285714,0.125
13402,QE_I20,66,51,4.117647058823529,4.0,1.3805369799252667,31,4,0,0.6078431372549019,0.2272727272727273
13448,QE_I20,17,17,5.764705882352941,6.0,0.43723731609760297,17,0,0,1.0,0.0
13619,QE_I20,27,20,4.95,5.5,1.1909748329127612,17,1,0,0.85,0.2592592592592593
13741,QE_I20,33,29,5.241379310344827,6.0,1.1848801149059374,27,0,0,0.9310344827586207,0.12121212121212122
13873,QE_I20,13,13,5.384615384615385,6.0,0.869718492622904,13,0,0,1.0,0.0
14121,QE_I20,13,12,5.0,6.0,1.5954480704349312,10,0,0,0.8333333333333334,0.07692307692307687
14233,QE_I20,34,29,4.413793103448276,5.0,1.5240275911289034,22,1,0,0.7586206896551724,0.1470588235294118
14328,QE_I20,94,84,5.261904761904762,6.0,1.076798552817817,76,0,0,0.9047619047619048,0.1063829787234043
14505,QE_I20,53,37,4.864864864864865,5.0,1.2728393929008168,33,1,0,0.8918918918918919,0.30188679245283023
14542,QE_I20,11,11,5.454545454545454,6.0,0.8201995322647245,11,0,0,1.0,0.0
14700,QE_I20,17,14,5.571428571428571,6.0,0.6462061726588642,14,1,0,1.0,0.17647058823529416
15000,QE_I20,8,8,5.625,6.0,0.744023809142845,8,0,0,1.0,0.0
15413,QE_I20,48,40,5.575,6.0,0.7807787039970959,39,1,0,0.975,0.16666666666666663
15629,QE_I20,7,7,6.0,6.0,0.0,7,0,0,1.0,0.0
15833,QE_I20,15,15,5.2,6.0,1.3732131246511905,12,0,0,0.8,0.0
15862,QE_I20,10,8,5.5,6.0,0.9258200997725514,8,0,0,1.0,0.19999999999999996
15865,QE_I20,6,5,6.0,6.0,0.0,5,0,0,1.0,0.16666666666666663
15868,QE_I20,14,13,5.076923076923077,5.0,0.75955452531275,13,0,0,1.0,0.0714285714285714
16009,QE_I20,39,28,5.178571428571429,6.0,1.2488089563755576,26,0,1,0.9285714285714286,0.28205128205128205
16010,QE_I20,10,8,5.75,6.0,0.46291004988627565,8,1,0,1.0,0.19999999999999996
16268,QE_I20,32,21,5.190476190476191,5.0,0.9283882603225668,20,3,0,0.9523809523809523,0.34375
16272,QE_I20,9,9,5.888888888888889,6.0,0.3333333333333334,9,0,0,1.0,0.0
16403,QE_I20,13,12,6.0,6.0,0.0,12,0,0,1.0,0.07692307692307687
17154,QE_I20,19,9,5.444444444444445,6.0,1.0137937550497031,8,0,0,0.8888888888888888,0.5263157894736843
17196,QE_I20,39,23,5.217391304347826,6.0,1.3127528930087211,20,3,1,0.8695652173913043,0.41025641025641024
18354,QE_I20,1,0,,,,0,0,0,nan,1.0
18382,QE_I20,9,9,6.0,6.0,0.0,9,0,0,1.0,0.0
18877,QE_I20,9,9,5.888888888888889,6.0,0.33333333333333337,9,0,0,1.0,0.0
18892,QE_I20,16,14,4.785714285714286,5.0,1.42389343964797,10,1,0,0.7142857142857143,0.125
18954,QE_I20,6,6,5.333333333333333,6.0,1.2110601416389966,5,0,0,0.8333333333333334,0.0
18959,QE_I20,6,6,5.833333333333333,6.0,0.40824829046386296,6,0,0,1.0,0.0
18961,QE_I20,22,18,5.888888888888889,6.0,0.3233808333817776,18,1,0,1.0,0.18181818181818177
19026,QE_I20,1,0,,,,0,0,0,nan,1.0
19060,QE_I20,49,44,4.886363636363637,5.0,1.3676649441939963,38,3,0,0.8636363636363636,0.10204081632653061
19077,QE_I20,21,13,4.6923076923076925,5.0,1.031553471276484,11,0,0,0.8461538461538461,0.38095238095238093
19191,QE_I20,4,4,5.5,6.0,1.0,4,0,0,1.0,0.0
19367,QE_I20,2,2,5.5,5.5,0.7071067811865476,2,0,0,1.0,0.0
19396,QE_I20,9,9,5.111111111111111,5.0,0.9279607271383372,9,0,0,1.0,0.0
20315,QE_I20,11,11,5.7272727272727275,6.0,0.6466697906828632,11,0,0,1.0,0.0
20392,QE_I20,43,40,4.45,5.0,1.4667249405672664,28,2,0,0.7,0.06976744186046513
20578,QE_I20,10,10,5.7,6.0,0.6749485577105528,10,0,0,1.0,0.0
20854,QE_I20,18,16,4.8125,5.0,1.3768926368215255,12,1,0,0.75,0.11111111111111116
21427,QE_I20,11,11,5.636363636363637,6.0,0.9244162777371754,10,0,0,0.9090909090909091,0.0
21443,QE_I20,43,30,4.466666666666667,5.0,1.5252661346824676,22,1,0,0.7333333333333333,0.3023255813953488
21578,QE_I20,6,6,4.5,4.5,1.378404875209022,4,0,0,0.6666666666666666,0.0
21808,QE_I20,5,5,5.6,6.0,0.5477225575051662,5,0,0,1.0,0.0
21822,QE_I20,9,9,5.444444444444445,6.0,0.7264831572567788,9,0,0,1.0,0.0
21869,QE_I20,10,10,5.9,6.0,0.316227766016838,10,0,0,1.0,0.0
21876,QE_I20,10,8,5.5,6.0,0.9258200997725513,8,0,0,1.0,0.19999999999999996
21879,QE_I20,14,12,4.583333333333333,4.5,1.4433756729740645,9,2,0,0.75,0.1428571428571429
21892,QE_I20,1,0,,,,0,0,0,nan,1.0
27518,QE_I20,13,10,5.5,6.0,0.7071067811865476,10,0,0,1.0,0.23076923076923073
29447,QE_I20,16,14,4.642857142857143,5.0,1.549547966698321,11,2,0,0.7857142857142857,0.125
38246,QE_I20,23,17,4.411764705882353,5.0,1.4602578338007541,12,2,0,0.7058823529411765,0.26086956521739135
38431,QE_I20,8,6,4.333333333333333,5.0,2.0655911179772892,4,0,0,0.6666666666666666,0.25
38678,QE_I20,15,14,3.7142857142857144,4.0,1.1387288073563857,8,1,0,0.5714285714285714,0.06666666666666665
39715,QE_I20,4,4,4.5,5.0,1.9148542155126762,3,0,0,0.75,0.0
41069,QE_I20,6,6,5.166666666666667,6.0,2.0412414523193148,5,0,0,0.8333333333333334,0.0
41490,QE_I20,16,15,5.133333333333334,6.0,1.0600988273786192,14,0,0,0.9333333333333333,0.0625
43037,QE_I20,26,20,5.45,6.0,1.0990426455975695,17,1,0,0.85,0.23076923076923073
43084,QE_I20,9,4,5.25,5.5,0.9574271077563381,4,2,0,1.0,0.5555555555555556
44372,QE_I20,32,25,5.56,6.0,0.7681145747868613,25,0,0,1.0,0.21875
45102,QE_I20,7,5,5.2,6.0,1.0954451150103321,5,0,0,1.0,0.2857142857142857
45701,QE_I20,7,7,5.714285714285714,6.0,0.7559289460184546,7,0,0,1.0,0.0
45703,QE_I20,7,7,5.857142857142857,6.0,0.3779644730092273,7,0,0,1.0,0.0
46729,QE_I20,13,11,4.7272727272727275,5.0,1.009049958219026,9,0,0,0.8181818181818182,0.15384615384615385
47333,QE_I20,6,6,6.0,6.0,0.0,6,0,0,1.0,0.0
48289,QE_I20,34,32,3.53125,3.5,1.7224209331541875,16,1,0,0.5,0.05882352941176472
48946,QE_I20,11,11,4.090909090909091,5.0,1.5135749373285388,6,0,0,0.5454545454545454,0.0
49324,QE_I20,83,27,4.37037037037037,5.0,1.4973861366278383,19,8,2,0.7037037037037037,0.6746987951807228
50439,QE_I20,3,3,5.333333333333333,6.0,1.1547005383792517,3,0,0,1.0,0.0
52068,QE_I20,2,0,,,,0,0,0,nan,1.0
52139,QE_I20,6,4,4.0,4.0,1.8257418583505538,2,0,0,0.5,0.33333333333333337
52442,QE_I20,40,40,5.075,6.0,1.2276201701060805,34,0,0,0.85,0.0
55811,QE_I20,18,14,4.5,5.5,1.7867030229749128,9,0,0,0.6428571428571429,0.2222222222222222
58522,QE_I20,13,12,5.5,6.0,0.7977240352174656,12,0,0,1.0,0.07692307692307687
58526,QE_I20,9,8,4.75,5.0,1.2817398889233114,6,1,0,0.75,0.11111111111111116
58588,QE_I20,19,17,5.0588235294117645,6.0,1.5600716423971577,13,0,0,0.7647058823529411,0.10526315789473684
59272,QE_I20,27,27,5.296296296296297,6.0,0.8688991627258912,26,0,0,0.9629629629629629,0.0
59426,QE_I20,69,64,5.0625,6.0,1.2832869503058917,57,2,0,0.890625,0.07246376811594202
59996,QE_I20,54,42,4.761904761904762,5.0,1.2058702719031176,36,1,0,0.8571428571428571,0.2222222222222222
60290,QE_I20,7,7,6.0,6.0,0.0,7,0,0,1.0,0.0
60760,QE_I20,31,24,5.208333333333333,6.0,1.3506573815438319,20,6,0,0.8333333333333334,0.22580645161290325
61024,QE_I20,15,13,5.3076923076923075,6.0,0.9473309334313418,12,2,0,0.9230769230769231,0.1333333333333333
61669,QE_I20,18,14,5.071428571428571,6.0,1.5915297775935682,11,0,0,0.7857142857142857,0.2222222222222222
63062,QE_I20,32,27,4.925925925925926,5.0,1.1410496492240392,24,1,0,0.8888888888888888,0.15625
63383,QE_I20,32,24,4.75,5.0,1.1515584902738285,19,1,0,0.7916666666666666,0.25
64604,QE_I20,11,9,4.888888888888889,5.0,1.3642254619787417,8,2,0,0.8888888888888888,0.18181818181818177
68313,QE_I20,6,6,5.5,6.0,0.8366600265340756,6,0,0,1.0,0.0
68511,QE_I20,37,32,4.9375,6.0,1.412787224579655,26,1,0,0.8125,0.1351351351351351
70522,QE_I20,21,18,5.111111111111111,6.0,1.2782749814122842,15,0,0,0.8333333333333334,0.1428571428571429
71037,QE_I20,9,8,4.25,4.0,1.5811388300841898,5,0,0,0.625,0.11111111111111116
71419,QE_I20,15,15,5.4,6.0,0.9102589898327994,14,0,0,0.9333333333333333,0.0
74276,QE_I20,6,0,,,,0,0,0,nan,1.0
76212,QE_I20,2,2,6.0,6.0,0.0,2,0,0,1.0,0.0
80827,QE_I20,5,5,5.6,6.0,0.894427190999916,5,0,0,1.0,0.0
81423,QE_I20,23,21,5.238095238095238,5.0,0.8890872794479686,20,1,0,0.9523809523809523,0.08695652173913049
81660,QE_I20,9,9,6.0,6.0,0.0,9,0,0,1.0,0.0
81812,QE_I20,19,17,5.294117647058823,5.0,0.77174363314129,17,0,0,1.0,0.10526315789473684
82658,QE_I20,39,36,5.222222222222222,6.0,1.0720104240194446,32,3,0,0.8888888888888888,0.07692307692307687
83289,QE_I20,17,13,4.538461538461538,5.0,1.4500221041639685,9,0,0,0.6923076923076923,0.23529411764705888
83302,QE_I20,35,35,4.6571428571428575,5.0,1.186761712116016,27,0,0,0.7714285714285715,0.0
83312,QE_I20,19,18,5.0,5.0,1.2833778958394957,17,0,0,0.9444444444444444,0.052631578947368474
83318,QE_I20,22,21,5.428571428571429,6.0,0.870139561876632,21,0,0,1.0,0.045454545454545414
83330,QE_I20,14,12,5.166666666666667,5.0,0.8348471099367218,12,0,0,1.0,0.1428571428571429
83929,QE_I20,22,21,5.190476190476191,5.0,0.9283882603225669,19,1,0,0.9047619047619048,0.045454545454545414
84374,QE_I20,10,8,4.25,4.5,1.4880476182856899,5,2,0,0.625,0.19999999999999996
85320,QE_I20,22,19,5.2105263157894735,6.0,1.2727462594467416,17,3,0,0.8947368421052632,0.13636363636363635
85760,QE_I20,19,14,4.714285714285714,6.0,1.7728105208558367,10,3,0,0.7142857142857143,0.26315789473684215
86396,QE_I20,34,12,4.333333333333333,5.0,1.6696942198734437,8,6,3,0.6666666666666666,0.6470588235294117
88788,QE_I20,34,22,4.863636363636363,5.5,1.4241272864946195,18,6,1,0.8181818181818182,0.3529411764705882
92391,QE_I20,12,10,4.8,5.0,1.0327955589886446,9,1,0,0.9,0.16666666666666663
94692,QE_I20,5,2,3.5,3.5,3.5355339059327378,1,1,0,0.5,0.6
95055,QE_I20,17,16,5.0625,5.0,1.0626225419530055,14,1,0,0.875,0.05882352941176472
95221,QE_I20,7,5,5.8,6.0,0.44721359549995787,5,1,0,1.0,0.2857142857142857
96158,QE_I20,44,37,4.621621621621622,5.0,1.4210979978592322,30,1,0,0.8108108108108109,0.15909090909090906
96913,QE_I20,17,14,5.071428571428571,6.0,1.268814450536449,11,2,0,0.7857142857142857,0.17647058823529416
96955,QE_I20,3,3,5.333333333333333,6.0,1.1547005383792517,3,0,0,1.0,0.0
99045,QE_I20,47,40,5.15,5.0,1.0012812305062462,37,1,0,0.925,0.14893617021276595
99503,QE_I20,14,13,5.538461538461538,6.0,0.6602252917735247,13,0,0,1.0,0.0714285714285714
99806,QE_I20,43,41,5.0,5.0,1.2041594578792296,34,2,0,0.8292682926829268,0.046511627906976716
99898,QE_I20,9,6,5.333333333333333,5.0,0.5163977794943222,6,1,1,1.0,0.33333333333333337
99952,QE_I20,1196,790,4.6,5.0,1.5927592816485387,601,148,42,0.760759493670886,0.3394648829431438
100309,QE_I20,109,58,4.5344827586206895,5.0,1.5807561730529123,45,13,5,0.7758620689655172,0.4678899082568807
100369,QE_I20,8,6,3.8333333333333335,4.0,1.329160135825126,4,1,0,0.6666666666666666,0.25
100373,QE_I20,21,16,5.0,6.0,1.5055453054181624,13,1,0,0.8125,0.23809523809523814
100412,QE_I20,13,12,5.5,6.0,0.7977240352174658,12,0,0,1.0,0.07692307692307687
100620,QE_I20,13,8,5.25,6.0,1.0350983390135313,8,1,1,1.0,0.3846153846153846
100690,QE_I20,51,43,5.232558139534884,6.0,1.2117914582162974,38,6,1,0.8837209302325582,0.1568627450980392
100724,QE_I20,25,16,5.4375,6.0,0.8920949127381756,15,3,0,0.9375,0.36
100775,QE_I20,8,8,4.75,5.5,1.8322507626258087,6,0,0,0.75,0.0
100808,QE_I20,10,10,5.6,6.0,0.5163977794943223,10,0,0,1.0,0.0
100916,QE_I20,10,10,5.5,6.0,0.9718253158075499,9,0,0,0.9,0.0
101556,QE_I20,8,7,5.142857142857143,6.0,1.864454471471609,6,0,0,0.8571428571428571,0.125
102152,QE_I20,28,25,5.0,5.0,0.9574271077563377,25,0,0,1.0,0.1071428571428571
102430,QE_I20,29,29,5.206896551724138,6.0,1.0816426114554918,25,0,0,0.8620689655172413,0.0
102576,QE_I20,71,68,5.323529411764706,6.0,1.071213239785705,64,2,1,0.9411764705882353,0.04225352112676062
102588,QE_I20,19,10,4.2,4.5,0.9189365834726815,7,3,0,0.7,0.4736842105263158
102944,QE_I20,7,7,5.571428571428571,6.0,0.5345224838248488,7,0,0,1.0,0.0
103381,QE_I20,31,27,5.444444444444445,6.0,0.9336995618478525,25,2,0,0.9259259259259259,0.12903225806451613
103572,QE_I20,20,19,5.631578947368421,6.0,0.8306975860878398,18,1,0,0.9473684210526315,0.050000000000000044
104282,QE_I20,6,6,5.5,6.0,0.8366600265340756,6,0,0,1.0,0.0
104814,QE_I20,21,17,5.352941176470588,5.0,0.7018882096342194,17,0,0,1.0,0.19047619047619047
106404,QE_I20,20,13,3.3846153846153846,3.0,1.7097008285302209,6,4,0,0.46153846153846156,0.35
107520,QE_I20,51,46,4.6521739130434785,5.0,1.1966135792188783,35,2,1,0.7608695652173914,0.0980392156862745
108012,QE_I20,2,1,6.0,6.0,,1,0,0,1.0,0.5
