NU_ANO,CO_CURSO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,AREA,NO_IES,SG_IES,ORGANIZACAO_ACADEMICA,CATEGORIA_ADMINISTRATIVA,MODALIDADE,MUNICIPIO,UF,INSCRITOS,PARTICIPANTES,TOTAL_PADRAO_PROFICIENCIA,PCT_PADRAO_PROFICIENCIA,CONCEITO_ENADE,SITUACAO_CONCEITO,FOCO_CONCEITO_1,REGIAO,ROTULO_OFERTA,SITUACAO_CRUZAMENTO
2025,114853,569,1,10028,702,1,1500107,15,1,MATEMÁTICA ,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Universidade,Pública Federal,Presencial,Abaetetuba,PA,135,86,18,0.209,1,Conceito 1,True,Norte,Abaetetuba - Presencial,Correspondência validada
2025,86396,569,1,10028,702,0,1501402,15,1,MATEMÁTICA ,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Universidade,Pública Federal,EaD,Belém,PA,34,16,1,0.063,1,Conceito 1,True,Norte,Belém - EaD,Correspondência validada
2025,11999,569,1,10028,702,1,1501402,15,1,MATEMÁTICA ,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Universidade,Pública Federal,Presencial,Belém,PA,68,61,37,0.607,3,Conceito superior a 1,False,Norte,Belém - Presencial,Correspondência validada
2025,12033,569,1,10028,702,1,1501709,15,1,MATEMÁTICA ,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Universidade,Pública Federal,Presencial,Bragança,PA,49,34,10,0.294,1,Conceito 1,True,Norte,Bragança - Presencial,Correspondência validada
2025,12044,569,1,10028,702,1,1501808,15,1,MATEMÁTICA ,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Universidade,Pública Federal,Presencial,Breves,PA,45,31,8,0.258,1,Conceito 1,True,Norte,Breves - Presencial,Correspondência validada
2025,12074,569,1,10028,702,1,1502103,15,1,MATEMÁTICA ,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Universidade,Pública Federal,Presencial,Cametá,PA,86,72,18,0.25,1,Conceito 1,True,Norte,Cametá - Presencial,Correspondência validada
2025,12035,569,1,10028,702,1,1502400,15,1,MATEMÁTICA ,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Universidade,Pública Federal,Presencial,Castanhal,PA,68,52,17,0.327,1,Conceito 1,True,Norte,Castanhal - Presencial,Correspondência validada
2025,1300375,569,1,10028,702,1,1506203,15,1,MATEMÁTICA ,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Universidade,Pública Federal,Presencial,Salinópolis,PA,35,26,3,0.115,1,Conceito 1,True,Norte,Salinópolis - Presencial,Correspondência validada
2025,114850,569,1,10028,904,1,1500107,15,1,LETRAS-PORTUGUÊS ,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Universidade,Pública Federal,Presencial,Abaetetuba,PA,95,82,57,0.695,3,Conceito superior a 1,False,Norte,Abaetetuba - Presencial,Correspondência validada
2025,114876,569,1,10028,904,1,1500602,15,1,LETRAS-PORTUGUÊS ,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Universidade,Pública Federal,Presencial,Altamira,PA,57,47,19,0.404,2,Conceito superior a 1,False,Norte,Altamira - Presencial,Correspondência validada
2025,115161,569,1,10028,904,0,1501402,15,1,LETRAS-PORTUGUÊS ,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Universidade,Pública Federal,EaD,Belém,PA,67,56,21,0.375,1,Conceito 1,True,Norte,Belém - EaD,Correspondência validada
2025,27645,569,1,10028,904,1,1501402,15,1,LETRAS-PORTUGUÊS ,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Universidade,Pública Federal,Presencial,Belém,PA,182,150,130,0.867,4,Conceito superior a 1,False,Norte,Belém - Presencial,Correspondência validada
2025,114874,569,1,10028,904,1,1501709,15,1,LETRAS-PORTUGUÊS ,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Universidade,Pública Federal,Presencial,Bragança,PA,51,49,35,0.714,3,Conceito superior a 1,False,Norte,Bragança - Presencial,Correspondência validada
2025,115013,569,1,10028,904,1,1501808,15,1,LETRAS-PORTUGUÊS ,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Universidade,Pública Federal,Presencial,Breves,PA,34,25,16,0.64,3,Conceito superior a 1,False,Norte,Breves - Presencial,Correspondência validada
2025,114846,569,1,10028,904,1,1502103,15,1,LETRAS-PORTUGUÊS ,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Universidade,Pública Federal,Presencial,Cametá,PA,87,69,44,0.638,3,Conceito superior a 1,False,Norte,Cametá - Presencial,Correspondência validada
2025,114857,569,1,10028,904,1,1502400,15,1,LETRAS-PORTUGUÊS ,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Universidade,Pública Federal,Presencial,Castanhal,PA,44,38,24,0.632,3,Conceito superior a 1,False,Norte,Castanhal - Presencial,Correspondência validada
2025,92851,569,1,10028,1402,1,1500107,15,1,FÍSICA ,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Universidade,Pública Federal,Presencial,Abaetetuba,PA,58,42,8,0.19,1,Conceito 1,True,Norte,Abaetetuba - Presencial,Correspondência validada
2025,1330339,569,1,10028,1402,1,1500800,15,1,FÍSICA ,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Universidade,Pública Federal,Presencial,Ananindeua,PA,22,17,3,0.176,1,Conceito 1,True,Norte,Ananindeua - Presencial,Correspondência validada
2025,1202639,569,1,10028,1402,0,1501402,15,1,FÍSICA ,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Universidade,Pública Federal,EaD,Belém,PA,32,24,1,0.042,1,Conceito 1,True,Norte,Belém - EaD,Correspondência validada
2025,12022,569,1,10028,1402,1,1501402,15,1,FÍSICA ,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Universidade,Pública Federal,Presencial,Belém,PA,53,34,21,0.618,3,Conceito superior a 1,False,Norte,Belém - Presencial,Correspondência validada
2025,1364837,569,1,10028,1402,1,1506203,15,1,FÍSICA ,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Universidade,Pública Federal,Presencial,Salinópolis,PA,20,14,3,0.214,1,Conceito 1,True,Norte,Salinópolis - Presencial,Correspondência validada
2025,1330344,569,1,10028,1502,1,1500800,15,1,QUÍMICA ,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Universidade,Pública Federal,Presencial,Ananindeua,PA,38,20,18,0.9,5,Conceito superior a 1,False,Norte,Ananindeua - Presencial,Correspondência validada
2025,114892,569,1,10028,1502,0,1501402,15,1,QUÍMICA ,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Universidade,Pública Federal,EaD,Belém,PA,11,6,0,0,1,Conceito 1,True,Norte,Belém - EaD,Correspondência validada
2025,12026,569,1,10028,1502,1,1501402,15,1,QUÍMICA ,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Universidade,Pública Federal,Presencial,Belém,PA,32,27,22,0.815,4,Conceito superior a 1,False,Norte,Belém - Presencial,Correspondência validada
2025,114877,569,1,10028,6407,1,1500602,15,1,Letras - Inglês,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Universidade,Pública Federal,Presencial,Altamira,PA,22,21,3,0.143,1,Conceito 1,True,Norte,Altamira - Presencial,Correspondência validada
2025,23777,569,1,10028,6407,1,1501402,15,1,Letras - Inglês,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Universidade,Pública Federal,Presencial,Belém,PA,100,85,59,0.694,3,Conceito superior a 1,False,Norte,Belém - Presencial,Correspondência validada
2025,114875,569,1,10028,6407,1,1501709,15,1,Letras - Inglês,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Universidade,Pública Federal,Presencial,Bragança,PA,44,41,14,0.341,1,Conceito 1,True,Norte,Bragança - Presencial,Correspondência validada
2025,114847,569,1,10028,6407,1,1502103,15,1,Letras - Inglês,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Universidade,Pública Federal,Presencial,Cametá,PA,17,15,2,0.133,1,Conceito 1,True,Norte,Cametá - Presencial,Correspondência validada
2025,95652,569,1,10028,6407,1,1507904,15,1,Letras - Inglês,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Universidade,Pública Federal,Presencial,Soure,PA,44,37,2,0.054,1,Conceito 1,True,Norte,Soure - Presencial,Correspondência validada
