grupo,n_cursos,n_participantes,media_ponderada,ic95_inf,ic95_sup,media_cursos,mediana_cursos,dp_cursos,p25_cursos,p75_cursos,min_cursos,max_cursos,dp_participantes_agrupado
UFPA,5,131,42.15389312977099,34.807328244274814,49.65787610619469,41.72187955182072,42.33294117647058,8.523297045295456,38.45095238095238,42.47285714285714,30.905,54.44764705882353,15.656576871792156
Norte sem UFPA,20,232,43.40982758620689,40.93218662981163,46.25776836158192,44.530993319180816,46.07357142857143,7.236308062566218,39.735069930069926,49.1335119047619,30.46,61.68333333333334,13.792153235779963
Norte,25,363,42.95658402203857,40.07091806526807,46.455252892493796,43.9691705657088,44.053636363636365,7.40796245004914,39.10181818181818,49.10857142857143,30.46,61.68333333333334,14.483786225879667
Nordeste,79,1059,50.726175637393766,48.79977654933764,52.6996756592692,50.840724694868626,51.48363636363636,7.9177617458653025,46.17307692307692,55.255833333333335,28.564,67.06266666666667,15.592335546639255
Sudeste,74,835,57.40708982035927,55.19189911057692,59.79844730658071,56.496819732366326,56.97813725490196,8.69279446962153,51.248765957446814,62.81547619047619,34.736000000000004,78.0942857142857,17.030027157169684
Sul,41,734,53.86716621253406,51.94234170759024,59.59193707487155,56.1630622823172,56.24,10.202857672499958,48.0,62.626666666666665,37.9025,76.16857142857143,16.74290151986358
Centro-Oeste,18,173,53.04670520231214,47.91298642676768,57.85039665003565,52.874919654801495,53.6175,9.566958795362826,46.34321428571428,59.045939849624055,27.231428571428573,66.39999999999999,16.766389729047514
Brasil geral,237,3164,52.453463969658664,51.11056519128257,53.83670593768372,52.95715309111342,53.040000000000006,9.470115099734167,46.14615384615384,59.47714285714286,27.231428571428573,78.0942857142857,16.744023104290285
Brasil sem UFPA,232,3033,52.89831849653808,51.6637129225058,54.325695239413555,53.199292607046466,53.27764705882353,9.358159884621555,46.51269565217392,59.520833333333336,27.231428571428573,78.0942857142857,16.64884931709165
Brasil sem Norte,212,2801,53.684227061763664,52.40116323459849,55.15581875717336,54.01705669080737,54.20309090909091,9.130538694029575,47.15647619047619,59.83680555555556,27.231428571428573,78.0942857142857,16.624674814774455
