recorte,grupo,n_cursos,n_participantes,media_ponderada,media_cursos,mediana_cursos,ic95_inf,ic95_sup
Todos,UFPA,5,131,42.15389312977099,41.72187955182072,42.33294117647058,34.807328244274814,49.65787610619469
Todos,Norte sem UFPA,20,232,43.40982758620689,44.530993319180816,46.07357142857143,40.93218662981163,46.25776836158192
Todos,Brasil sem UFPA,232,3033,52.89831849653808,53.199292607046466,53.27764705882353,51.6637129225058,54.325695239413555
Presencial,UFPA,4,107,44.67700934579439,44.42609943977591,42.40289915966386,38.91244755244755,52.71697478991597
Presencial,Norte sem UFPA,18,210,43.987238095238084,44.80425183612684,46.07357142857143,41.62985169172932,46.70946018237081
Presencial,Brasil sem UFPA,196,2292,53.858211169284466,54.02133196665961,54.270340909090905,52.3016880834759,55.439980183646064
EaD,UFPA,1,24,30.905,30.905,30.905,30.905,30.905
EaD,Norte sem UFPA,2,22,37.89818181818182,42.071666666666665,42.071666666666665,32.89,51.25333333333333
EaD,Brasil sem UFPA,36,741,49.92925775978408,48.72374498248595,48.880064102564106,47.33237949536547,51.079033442511005
N válido >= 10,UFPA,5,131,42.15389312977099,41.72187955182072,42.33294117647058,34.807328244274814,49.65787610619469
N válido >= 10,Norte sem UFPA,11,181,42.013370165745854,42.40739045045863,41.41538461538461,39.12862734683795,44.79059441947565
N válido >= 10,Brasil sem UFPA,115,2435,52.72367967145791,53.21893937123409,52.578,51.291782579240156,54.39397842714708
N válido >= 20,UFPA,3,100,42.0788,41.2678664799253,38.45095238095238,30.904999999999998,54.44764705882353
N válido >= 20,Norte sem UFPA,4,91,42.565054945054946,42.6569955044955,42.734510489510484,40.339772727272724,45.03209302325582
N válido >= 20,Brasil sem UFPA,31,1270,51.56918110236221,51.53887292879742,50.14562162162162,49.35792221223021,53.98100321788508
Universidades federais,UFPA,5,131,42.15389312977099,41.72187955182072,42.33294117647058,34.807328244274814,49.65787610619469
Universidades federais,Norte sem UFPA,19,216,43.866759259259254,44.91466402019033,46.09,41.1788057473078,46.78840870098039
Universidades federais,Brasil sem UFPA,160,1861,53.50151531434713,53.554594519443654,53.76279635258358,51.80856679417166,55.14853075603936
